"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Liechtenstein","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Liechtenstein","99.05","99.05","99.05","99.05","99.05","99.05","Source","non-renewables ressources","area with tolerable erosion","Europe"
"3","Liechtenstein",NA,NA,NA,NA,NA,NA,"Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"4","Liechtenstein","78.91","78.91","78.91","78.91","78.91","78.91","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"5","Liechtenstein","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"6","Liechtenstein","58.8992083333333","58.5854875","58.2759458333333","57.961545","57.4467425","57.0594541666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"7","Liechtenstein","100","100","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"8","Liechtenstein","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"9","Liechtenstein","99.05","99.05","99.05","99.05","99.05","99.05","Source","non-renewable ressources","non-renewable ressources","Europe"
"10","Liechtenstein","99.5238664843765","99.5238664843765","99.5238664843765","99.5238664843765","99.5238664843765","99.5238664843765","Source","Source","Source","Europe"
"11","Liechtenstein",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"12","Liechtenstein","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","Sink","critical ecosystems","critical ecosystems","Europe"
"13","Liechtenstein","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","88.8313007897554","Sink","Sink","Sink","Europe"
"14","Liechtenstein","58.8992083333333","58.5854875","58.2759458333333","57.961545","57.4467425","57.0594541666667","Life support","ecosystem health","ecosystem health","Europe"
"15","Liechtenstein","58.8992083333333","58.5854875","58.2759458333333","57.961545","57.4467425","57.0594541666667","Life support","Life support","Life support","Europe"
"16","Liechtenstein","100","100","100","100","100","100","Human health and welfare","human health","human health","Europe"
"17","Liechtenstein",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"18","Liechtenstein","100","100","100","100","100","100","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"19","Liechtenstein","84.9475151861944","84.8341723996611","84.721892453049","84.6073911222033","84.4188957852884","84.2762530757518","7","SESI layer","SESI layer","Europe"
