"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Madagascar","47.4232633333333","46.8097533333333","46.1963066666666","45.5781733333333","44.9646633333333","44.3512166666667","Source","renewable ressources","state of forest reccources","Africa"
"2","Madagascar","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Madagascar","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Madagascar","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"5","Madagascar","29.7","29.7","29.7","29.7","29.7","29.7","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Madagascar","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Madagascar","40.5144152392863","49.8491480381429","54.5165144375712","55.9167243573997","59.1838808369995","67.7876092529108","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Madagascar","94.6325","94.6325","94.6325","94.6325","94.6325","94.6325","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Madagascar","82.52","82.52","82.52","82.52","82.52","82.52","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"10","Madagascar","43.8384125","43.7939008333333","43.7126266666667","43.6644175","43.5952841666667","43.5278933333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"11","Madagascar","85.047","81.494","82.178","81.4845","80.1355","79.803","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"12","Madagascar","63.8366666666667","63.52","65.61","64.7233333333333","65.1033333333333","65.1033333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"13","Madagascar","27.734887","28.2178005","28.704267","29.194315","29.687099","30.1834835","Human health and welfare","human health","Drinking water contamination","Africa"
"14","Madagascar","52.5","52.5","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"15","Madagascar","75.4503123241856","75.2050961905702","75.3759929116858","75.1225741514447","74.8684890660978","74.6118170517253","Source","renewable ressources","renewable ressources","Africa"
"16","Madagascar","29.7","29.7","29.7","29.7","29.7","29.7","Source","non-renewable ressources","non-renewable ressources","Africa"
"17","Madagascar","47.337873590058","47.2608861201304","47.3145536751333","47.2349494791506","47.1550010631227","47.074100803268","Source","Source","Source","Africa"
"18","Madagascar","63.650934980789","70.6039290961508","73.8352994424558","74.7774861555266","76.9310605912849","82.3332309902331","Sink","global System","global System","Africa"
"19","Madagascar","88.3689645746741","88.3689645746741","88.3689645746741","88.3689645746741","88.3689645746741","88.3689645746741","Sink","critical ecosystems","critical ecosystems","Africa"
"20","Madagascar","74.9984481070257","78.9885821440704","80.7759181983766","81.2896612433642","82.4519142778587","85.2977278284385","Sink","Sink","Sink","Africa"
"21","Madagascar","61.0600152955066","59.7406072492711","59.9351001852282","59.6487487528343","59.1060901628412","58.9377338526007","Life support","ecosystem health","ecosystem health","Africa"
"22","Madagascar","61.0600152955066","59.7406072492711","59.9351001852282","59.6487487528343","59.1060901628412","58.9377338526007","Life support","Life support","Life support","Africa"
"23","Madagascar","42.0773423169367","42.3366825313463","43.396854239334","43.4689933306872","43.962814990588","44.3288324621985","Human health and welfare","human health","human health","Africa"
"24","Madagascar","52.5","52.5","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"25","Madagascar","47.0006433109077","47.1452631013518","41.9880602489915","42.0229443763662","42.2609673220176","42.4365269405593","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"26","Madagascar","56.4976564419522","56.943409718704","55.6891930127238","55.6989035848159","55.8245256996817","56.2941402231044","14","SESI layer","SESI layer","Africa"
