"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Malaysia","67.2442533333333","62.6282666666666","61.0824266666667","59.5334833333334","57.9876433333334","56.4387","Source","renewable ressources","state of forest reccources","Asia"
"2","Malaysia","78.95275","78.95275","74.4355","74.4355","74.4355","74.4355","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Malaysia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Malaysia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Malaysia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Malaysia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Malaysia","14.3945121680734","34.926763269762","51.9561153048429","49.3741662275781","56.3922985124364","35.4729594891239","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Malaysia","73.49895","73.3849933333333","73.2800466666667","73.19227","73.12308","73.04165","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Malaysia","79.955","77.561","76.934","76.2785","75.8415","75.699","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Malaysia","47.94","43.3483333333333","51.2966666666667","50.9166666666667","47.6866666666667","47.6866666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Malaysia","97.4057305","97.4462765","97.486889","97.527644","97.5684655","97.5817275","Human health and welfare","human health","Drinking water contamination","Asia"
"12","Malaysia","64.375","64.375","64.375","64.375","64.375","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"13","Malaysia","85.3602364220844","83.8560523343537","82.1153026820447","81.5897027713919","81.0548286914616","80.5080444904916","Source","renewable ressources","renewable ressources","Asia"
"14","Malaysia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"15","Malaysia","92.3906036467369","91.5729503370694","90.6174942723781","90.3270185334332","90.0304552312503","89.7262751319209","Source","Source","Source","Asia"
"16","Malaysia","8.48366435217513","13.2149088664587","16.1177100273027","15.7121236991659","16.7917090423275","13.3178375664227","Sink","global System","global System","Asia"
"17","Malaysia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"18","Malaysia","8.48366435217513","13.2149088664587","16.1177100273027","15.7121236991659","16.7917090423275","13.3178375664227","Sink","Sink","Sink","Asia"
"19","Malaysia","76.659040870924","75.4441082386601","75.0847994620305","74.7194524016002","74.4698870136111","74.3584552243388","Life support","ecosystem health","ecosystem health","Asia"
"20","Malaysia","76.659040870924","75.4441082386601","75.0847994620305","74.7194524016002","74.4698870136111","74.3584552243388","Life support","Life support","Life support","Asia"
"21","Malaysia","68.3346963128541","64.993335626156","70.7159985392509","70.4683087659505","68.2108121303117","68.2154477523237","Human health and welfare","human health","human health","Asia"
"22","Malaysia","64.375","64.375","64.375","64.375","64.375","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"23","Malaysia","66.3253049381605","64.6834289515776","67.4710486502491","67.3527829923015","66.2651569898451","59.8440557365307","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"24","Malaysia","44.6800324383971","49.2960856733493","52.1550322297188","51.6964174593151","52.2621856288195","48.0204452489866","12","SESI","SESI","Asia"
