"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Maldives","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Maldives","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Maldives","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Maldives",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"5","Maldives","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Maldives","55.552437875","54.718689375","56.44061425","48.450983625","37.5800885","38.979241375","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Maldives","43.4379597842079","44.6027464443355","44.6027464443355","72.3246689553703","72.3246689553703","97.8307588985897","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Maldives",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Maldives","83.603","83.47","83.356","83.2325","83.1185","83.0045","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Maldives","77.105","72.5766666666667","76.1866666666667","76.345","74.6666666666667","74.6666666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Maldives","88.0814071066466","88.0814071066466","88.7377289124129","88.7377289124129","88.7377289124129","88.7377289124129","Source","renewable ressources","renewable ressources","Asia"
"12","Maldives","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Maldives","93.8516952998967","93.8516952998967","94.2007053648819","94.2007053648819","94.2007053648819","94.2007053648819","Source","Source","Source","Asia"
"14","Maldives","49.1231570883729","49.402467832685","50.1737621327652","59.1962950803527","52.1341295129785","61.7524798288098","Sink","global System","global System","Asia"
"15","Maldives",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Maldives","49.1231570883729","49.402467832685","50.1737621327652","59.1962950803527","52.1341295129785","61.7524798288098","Sink","Sink","Sink","Asia"
"17","Maldives","83.603","83.47","83.356","83.2325","83.1185","83.0045","Life support","ecosystem health","ecosystem health","Asia"
"18","Maldives","83.603","83.47","83.356","83.2325","83.1185","83.0045","Life support","Life support","Life support","Asia"
"19","Maldives","77.105","72.5766666666667","76.1866666666667","76.345","74.6666666666667","74.6666666666667","Human health and welfare","human health","human health","Asia"
"20","Maldives",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Maldives","77.105","72.5766666666667","76.1866666666667","76.345","74.6666666666667","74.6666666666667","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Maldives","73.8343063191186","72.7996932454996","74.0178839190498","77.1534862806109","74.3019455252897","77.4879621687163","10","SESI layer","SESI layer","Asia"
