"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Mali","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Mali","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Mali","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"4","Mali","99.40625","99.40625","99.40625","99.40625","99.40625","99.40625","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Mali","100","100","98.6790345","97.7791755","97.45447975","97.672488125","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Mali","28.878932103815","32.340670781587","36.2262958280657","36.2262958280657","47.1060459582063","27.0272904483431","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Mali",NA,NA,NA,NA,NA,"41.955","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"8","Mali","85.4769658333333","85.4263908333333","85.3657858333333","85.3217841666667","85.271705","85.22521","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Mali","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","Mali","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"11","Mali","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Africa"
"12","Mali","99.40625","99.40625","99.40625","99.40625","99.40625","99.40625","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Mali","99.7026830130463","99.7026830130463","99.7026830130463","99.7026830130463","99.7026830130463","99.7026830130463","Source","Source","Source","Africa"
"14","Mali","53.7391217864741","56.8688585972912","59.7894296328783","59.5161939096189","67.7546692260879","51.3792049896329","Sink","global System","global System","Africa"
"15","Mali",NA,NA,NA,NA,NA,"41.955","Sink","critical ecosystems","critical ecosystems","Africa"
"16","Mali","53.7391217864741","56.8688585972912","59.7894296328783","59.5161939096189","67.7546692260879","46.4285962025565","Sink","Sink","Sink","Africa"
"17","Mali","85.4769658333333","85.4263908333333","85.3657858333333","85.3217841666667","85.271705","85.22521","Life support","ecosystem health","ecosystem health","Africa"
"18","Mali","85.4769658333333","85.4263908333333","85.3657858333333","85.3217841666667","85.271705","85.22521","Life support","Life support","Life support","Africa"
"19","Mali","5","5","5","5","5","5","Human health and welfare","human health","human health","Africa"
"20","Mali","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Mali","11.9895788082818","11.9895788082818","11.9895788082818","11.9895788082818","11.9895788082818","11.9895788082818","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Mali","48.4074949301792","49.0901473311991","49.6998131840967","49.6365356570094","51.2641471950249","46.6354424230578","10","SESI layer","SESI layer","Africa"
