"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Malta","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Malta","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Malta","78.1753333333333","78.4286666666667","88.714","80.5186666666667","75.9333333333333","77.0226666666667","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Malta","74.6666666666667","74.6666666666667","74.6666666666667","74.6666666666667","74.6666666666667","74.6666666666667","Source","renewable ressources","Groundwater stress","Europe"
"5","Malta","53.6875","53.6875","53.6875","53.6875","53.6875","53.6875","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Malta","32.328357875","50.429285","44.049600375","46.36331825","45.474172875","52.126609625","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Malta","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Malta","59.1015225","59.0876958333333","59.0758241666667","59.0606658333333","59.0438783333333","59.1406508333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"9","Malta","69.2105","66.75","66.674","66.3415","66.028","66.579","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"10","Malta","71.975","73.8116666666667","75.9333333333333","72.165","74.8883333333333","74.8883333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Malta","100","100","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Malta","69.9209467252368","69.9775241034099","72.0241389139262","70.2998143407568","69.276852943533","69.523987378771","Source","renewable ressources","renewable ressources","Europe"
"13","Malta","53.6875","53.6875","53.6875","53.6875","53.6875","53.6875","Source","non-renewable ressources","non-renewable ressources","Europe"
"14","Malta","61.2689221980536","61.2937054296917","62.183566622874","61.4346911965819","60.9860725281267","61.0947548681372","Source","Source","Source","Europe"
"15","Malta","56.8580318644605","71.0135796872683","66.3698729658269","68.0906148085035","67.4345407599103","72.1987601174702","Sink","global System","global System","Europe"
"16","Malta",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"17","Malta","56.8580318644605","71.0135796872683","66.3698729658269","68.0906148085035","67.4345407599103","72.1987601174702","Sink","Sink","Sink","Europe"
"18","Malta","63.9565940539852","62.8020994623189","62.7600310746285","62.5953126230877","62.4383631959818","62.7497043166938","Life support","ecosystem health","ecosystem health","Europe"
"19","Malta","63.9565940539852","62.8020994623189","62.7600310746285","62.5953126230877","62.4383631959818","62.7497043166938","Life support","Life support","Life support","Europe"
"20","Malta","84.8380810721223","85.9137164058608","87.1397345264107","84.9499852854608","86.5380455830459","86.5380455830459","Human health and welfare","human health","human health","Europe"
"21","Malta",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"22","Malta","84.8380810721223","85.9137164058608","87.1397345264107","84.9499852854608","86.5380455830459","86.5380455830459","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"23","Malta","65.9366770951679","69.6143043470327","68.9265433390967","68.6754500229315","68.6582793925109","69.9581164608152","11","SESI layer","SESI layer","Europe"
