"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Monaco",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Monaco","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Monaco","83.96875","83.96875","83.96875","83.96875","83.96875","83.96875","Source","non-renewables ressources","area with tolerable erosion","Europe"
"4","Monaco","5","5","5","5","5","5","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"5","Monaco","64.3085","63.9475","63.5865","63.216","62.855","62.494","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"6","Monaco","82.8683333333333","85.655","85.3383333333333","84.5466666666667","86.6683333333333","86.6683333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"7","Monaco","100","100","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"8","Monaco","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","renewable ressources","Europe"
"9","Monaco","83.96875","83.96875","83.96875","83.96875","83.96875","83.96875","Source","non-renewable ressources","non-renewable ressources","Europe"
"10","Monaco","58.6374656256561","58.6374656256561","58.4057400325516","58.4057400325516","58.4057400325516","58.4057400325516","Source","Source","Source","Europe"
"11","Monaco","5","5","5","5","5","5","Sink","global System","global System","Europe"
"12","Monaco",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"13","Monaco","5","5","5","5","5","5","Sink","Sink","Sink","Europe"
"14","Monaco","64.3085","63.9475","63.5865","63.216","62.855","62.494","Life support","ecosystem health","ecosystem health","Europe"
"15","Monaco","64.3085","63.9475","63.5865","63.216","62.855","62.494","Life support","Life support","Life support","Europe"
"16","Monaco","91.0320456396171","92.5499864937862","92.3787493600846","91.9492613709684","93.0958287644153","93.0958287644153","Human health and welfare","human health","human health","Europe"
"17","Monaco",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"18","Monaco","91.0320456396171","92.5499864937862","92.3787493600846","91.9492613709684","93.0958287644153","93.0958287644153","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"19","Monaco","36.1952824004255","36.2941208933734","36.1901708709884","36.0952619698644","36.1554604819245","36.1034346804312","7","SESI","SESI","Europe"
