"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Mongolia","92.7192","92.6706233333334","92.6220466666667","92.57347","92.5248933333334","92.4763166666667","Source","renewable ressources","state of forest reccources","Asia"
"2","Mongolia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Mongolia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"4","Mongolia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Mongolia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Mongolia","53.5294117647059","67.5","57.2058823529412","49.8529411764706","46.1764705882353","98.7219730941704","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Mongolia","32.2079191666667","32.4540366666667","32.6550475","32.8212366666667","32.9591066666667","33.0661641666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Mongolia","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Mongolia","77.265284","77.7231365","78.179469","78.641302","79.1082365","79.5798925","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Mongolia","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"11","Mongolia","97.5116619844089","97.4946298452144","97.4775917529706","97.4605477024729","97.4434976885099","97.4264417058621","Source","renewable ressources","renewable ressources","Asia"
"12","Mongolia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Mongolia","98.74799338944","98.7393689696336","98.7307407816687","98.7221088219214","98.7134730867625","98.7048335725572","Source","Source","Source","Asia"
"14","Mongolia","16.3599223354981","18.3711730708738","16.9124040799854","15.7881191369445","15.1948133565759","22.2173325462543","Sink","global System","global System","Asia"
"15","Mongolia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Mongolia","16.3599223354981","18.3711730708738","16.9124040799854","15.7881191369445","15.1948133565759","22.2173325462543","Sink","Sink","Sink","Asia"
"17","Mongolia","32.2079191666667","32.4540366666667","32.6550475","32.8212366666667","32.9591066666667","33.0661641666667","Life support","ecosystem health","ecosystem health","Asia"
"18","Mongolia","32.2079191666667","32.4540366666667","32.6550475","32.8212366666667","32.9591066666667","33.0661641666667","Life support","Life support","Life support","Asia"
"19","Mongolia","19.655188119171","19.7133376803625","19.7711240196404","19.8294354432999","19.8882171775149","19.9474174393579","Human health and welfare","human health","human health","Asia"
"20","Mongolia","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Mongolia","32.1231594999072","32.1706423345732","32.2177592490713","32.2652345532036","32.313022170938","32.3610787145035","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Mongolia","35.9561024880132","37.0970113308334","36.4062417337719","35.8433544148848","35.5513586929815","39.1389604035249","10","SESI","SESI","Asia"
