"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Montenegro",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Montenegro","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Montenegro","33.38125","33.38125","33.38125","33.38125","33.38125","33.38125","Source","non-renewables ressources","area with tolerable erosion","Europe"
"4","Montenegro","9.09188801148599","15.9117013639627","74.562096195262","77.2900215362527","93.6575735821967","75.7955689828802","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"5","Montenegro","100","100","100","100","100","89.36","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"6","Montenegro","5","5","5","5","5","100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"7","Montenegro","52.8781341666667","53.5823166666667","54.17726","54.951355","55.5715575","56.0305716666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"8","Montenegro","66.503","64.888","65.2775","64.4225","63.3205","63.235","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"9","Montenegro","44.5833333333333","47.8133333333333","44.0766666666667","41.8916666666667","54.7166666666667","54.7166666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"10","Montenegro","92.279331","92.869737","93.4605325","94.0276635","94.590301","94.6351125","Human health and welfare","human health","Drinking water contamination","Europe"
"11","Montenegro","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"12","Montenegro","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","renewable ressources","Europe"
"13","Montenegro","33.38125","33.38125","33.38125","33.38125","33.38125","33.38125","Source","non-renewable ressources","non-renewable ressources","Europe"
"14","Montenegro","36.971548858548","36.971548858548","36.8254433951582","36.8254433951582","36.8254433951582","36.8254433951582","Source","Source","Source","Europe"
"15","Montenegro","9.09188801148599","15.9117013639627","74.562096195262","77.2900215362527","93.6575735821967","75.7955689828802","Sink","global System","global System","Europe"
"16","Montenegro","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","94.5304183847718","Sink","critical ecosystems","critical ecosystems","Europe"
"17","Montenegro","14.2583588247379","18.8625676638937","40.8320848889062","41.5723155642651","45.7629436484893","84.6462453252564","Sink","Sink","Sink","Europe"
"18","Montenegro","59.3005443186303","58.9648146258993","59.4689506351844","59.4987703023138","59.319632556842","59.5238876363235","Life support","ecosystem health","ecosystem health","Europe"
"19","Montenegro","59.3005443186303","58.9648146258993","59.4689506351844","59.4987703023138","59.319632556842","59.5238876363235","Life support","Life support","Life support","Europe"
"20","Montenegro","64.1414076377343","66.6364141574259","64.1827760188952","62.7612582473257","71.9421015102886","71.9591405286709","Human health and welfare","human health","human health","Europe"
"21","Montenegro","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"22","Montenegro","42.9425834060419","43.7698173062899","42.9564292108089","42.4780669829809","45.4789557754001","45.4843411538442","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"23","Montenegro","34.0385466083171","36.6276479918603","44.27076198956","44.351287712327","46.1761498070652","53.8985671502172","11","SESI layer","SESI layer","Europe"
