"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Montserrat",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Montserrat","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Montserrat",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"4","Montserrat","85.6265","85.3225","84.534","84.9425","84.8475","84.762","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"5","Montserrat","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","renewable ressources","Europe"
"6","Montserrat",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"7","Montserrat","62.323","62.323","63.33","63.33","63.33","63.33","Source","Source","Source","Europe"
"8","Montserrat",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"9","Montserrat",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"10","Montserrat",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"11","Montserrat","85.6265","85.3225","84.534","84.9425","84.8475","84.762","Life support","ecosystem health","ecosystem health","Europe"
"12","Montserrat","85.6265","85.3225","84.534","84.9425","84.8475","84.762","Life support","Life support","Life support","Europe"
"13","Montserrat",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"14","Montserrat",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"15","Montserrat",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"16","Montserrat","73.0513542619163","72.9215617461667","73.16787696797","73.3444512216159","73.3034253974533","73.2664825141756","4","SESI","SESI","Europe"
