"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Mozambique","23.4141666666667","18.84017","15.5868633333333","12.91027","9.12281","5.86063666666669","Source","renewable ressources","state of forest reccources","Africa"
"2","Mozambique","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Mozambique","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Mozambique",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Mozambique","92.28125","92.28125","92.28125","92.28125","92.28125","92.28125","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Mozambique","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Mozambique","13.1733547351525","14.5152487961477","39.0353130016051","51.3563402889246","56.7239165329053","63.1753449043169","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Mozambique","57.2415808333333","57.0711275","56.8768458333333","56.6847033333333","56.5053675","56.3560933333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Mozambique","78.245","74.6825","74.198","74.008","74.4925","75.433","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Mozambique","63.0133333333333","63.805","64.3433333333333","63.0133333333333","63.7416666666667","63.7416666666667","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Mozambique","54.2888296175121","50.494706202002","47.7559936023113","44.8490675216588","39.9470321861227","34.4685680926594","Source","renewable ressources","renewable ressources","Africa"
"12","Mozambique","92.28125","92.28125","92.28125","92.28125","92.28125","92.28125","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Mozambique","70.7802307013833","68.2621022728095","66.3851096603243","64.3329465533258","60.7154186671362","56.3986041431942","Source","Source","Source","Africa"
"14","Mozambique","36.2951163865781","38.0988829182008","62.4782466156062","71.663338108774","75.31528167172","79.4829194886026","Sink","global System","global System","Africa"
"15","Mozambique",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"16","Mozambique","36.2951163865781","38.0988829182008","62.4782466156062","71.663338108774","75.31528167172","79.4829194886026","Sink","Sink","Sink","Africa"
"17","Mozambique","66.9243415530117","65.2856376205268","64.9626677957553","64.7697577909114","64.8785487545287","65.2005305838329","Life support","ecosystem health","ecosystem health","Africa"
"18","Mozambique","66.9243415530117","65.2856376205268","64.9626677957553","64.7697577909114","64.8785487545287","65.2005305838329","Life support","Life support","Life support","Africa"
"19","Mozambique","63.0133333333333","63.805","64.3433333333333","63.0133333333333","63.7416666666667","63.7416666666667","Human health and welfare","human health","human health","Africa"
"20","Mozambique",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Mozambique","63.0133333333333","63.805","64.3433333333333","63.0133333333333","63.7416666666667","63.7416666666667","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Mozambique","57.3712327837513","57.3708211607686","64.5270379040474","65.861831123807","65.94420851629","65.698306926351","10","SESI layer","SESI layer","Africa"
