"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Namibia","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Namibia","69.2675","69.2675","69.2675","69.2675","69.2675","69.2675","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Namibia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Namibia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"5","Namibia","95.13125","95.13125","95.13125","95.13125","95.13125","95.13125","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Namibia","22.76842475","16.13990425","21.863419125","24.652574","25.857741625","29.629996875","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Namibia","33.2190690889802","53.3755470096804","66.981169606153","79.2010343455775","91.0429651239889","88.1097224774857","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Namibia","74.2075","74.2075","74.2075","74.2075","74.2075",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Namibia","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"10","Namibia","71.6447741666667","71.6532458333333","71.6561075","71.6630066666667","71.6495908333333","71.64816","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"11","Namibia","73.685","71.9845","72.944","73.134","73.1245","72.6115","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"12","Namibia","78.2133333333333","78.15","77.8966666666667","78.2133333333333","78.435","78.435","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"13","Namibia","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"14","Namibia","43.1394773759755","43.1394773759755","43.1394773759755","43.1394773759755","43.1394773759755","43.1394773759755","Source","renewable ressources","renewable ressources","Africa"
"15","Namibia","95.13125","95.13125","95.13125","95.13125","95.13125","95.13125","Source","non-renewable ressources","non-renewable ressources","Africa"
"16","Namibia","64.0617858564938","64.0617858564938","64.0617858564938","64.0617858564938","64.0617858564938","64.0617858564938","Source","Source","Source","Africa"
"17","Namibia","27.5017431232549","29.3509151139724","38.2679681271692","44.1872081046188","48.5197430841301","51.0949195289025","Sink","global System","global System","Africa"
"18","Namibia","86.1437751668686","86.1437751668686","86.1437751668686","86.1437751668686","86.1437751668686",NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"19","Namibia","48.6734422072925","50.2831843912046","57.4155662032498","61.6964579227683","64.6503970551885","51.0949195289025","Sink","Sink","Sink","Africa"
"20","Namibia","72.6577262544792","71.8186819336695","72.2971860135649","72.3947672802393","72.383288851033","72.128221729362","Life support","ecosystem health","ecosystem health","Africa"
"21","Namibia","72.6577262544792","71.8186819336695","72.2971860135649","72.3947672802393","72.383288851033","72.128221729362","Life support","Life support","Life support","Africa"
"22","Namibia","78.2133333333333","78.15","77.8966666666667","78.2133333333333","78.435","78.435","Human health and welfare","human health","human health","Africa"
"23","Namibia","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"24","Namibia","77.2254275913488","77.1941545714441","77.0689355923211","77.2254275913488","77.3347835711719","77.3347835711719","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"25","Namibia","64.6745337800454","65.0071183676039","67.2833121074381","68.5617181882687","69.3898352076526","65.3678521359017","13","SESI","SESI","Africa"
