"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Nauru",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Oceania"
"2","Nauru","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Nauru",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Nauru","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Nauru","100","100",NA,NA,NA,NA,"Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"6","Nauru","86.567","86.6715","86.5385","86.4055","86.2725","86.149","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"7","Nauru","92.78","92.6216666666667","92.2416666666667","91.7983333333333","92.4","92.4","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"8","Nauru","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","renewable ressources","Oceania"
"9","Nauru","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Oceania"
"10","Nauru","20.4303083677168","20.4303083677168","19.833368347308","19.833368347308","19.833368347308","19.833368347308","Source","Source","Source","Oceania"
"11","Nauru","100","100",NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"12","Nauru",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"13","Nauru","100","100",NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"14","Nauru","86.567","86.6715","86.5385","86.4055","86.2725","86.149","Life support","ecosystem health","ecosystem health","Oceania"
"15","Nauru","86.567","86.6715","86.5385","86.4055","86.2725","86.149","Life support","Life support","Life support","Oceania"
"16","Nauru","92.78","92.6216666666667","92.2416666666667","91.7983333333333","92.4","92.4","Human health and welfare","human health","human health","Oceania"
"17","Nauru",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"18","Nauru","92.78","92.6216666666667","92.2416666666667","91.7983333333333","92.4","92.4","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"19","Nauru","63.6458973880247","63.6379171013491","54.0975579443305","53.9830668666327","54.0729766212719","54.047162286082","7","SESI","SESI","Oceania"
