"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Nepal","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Nepal","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Nepal",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"4","Nepal","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Nepal","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Nepal","90.0175967823027","20.2840623428859","39.3891402714932","21.2393162393162","39.3891402714932","44.6688264938805","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Nepal","71.3671358333333","71.2540575","71.1350716666667","70.9805983333333","70.8798308333333","70.7937825","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Nepal","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Nepal","29.0937575","27.658222","26.2003995","24.720708","23.2193945","21.696877","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Nepal","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"11","Nepal","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Asia"
"12","Nepal","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Nepal","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Source","Source","Source","Asia"
"14","Nepal","94.8776036703619","45.037831145478","62.7607682166919","46.0861326640848","62.7607682166919","66.8347413355363","Sink","global System","global System","Asia"
"15","Nepal",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Nepal","94.8776036703619","45.037831145478","62.7607682166919","46.0861326640848","62.7607682166919","66.8347413355363","Sink","Sink","Sink","Asia"
"17","Nepal","71.3671358333333","71.2540575","71.1350716666667","70.9805983333333","70.8798308333333","70.7937825","Life support","ecosystem health","ecosystem health","Asia"
"18","Nepal","71.3671358333333","71.2540575","71.1350716666667","70.9805983333333","70.8798308333333","70.7937825","Life support","Life support","Life support","Asia"
"19","Nepal","12.0610442126708","11.7597240613885","11.4456104031196","11.1177128942962","10.7748305091078","10.4155837570441","Human health and welfare","human health","human health","Asia"
"20","Nepal","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Nepal","18.6213592713928","18.3872800262823","18.1400468326211","17.8783177539447","17.6004652534201","17.3045668254082","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Nepal","40.9769461531211","33.8920150150556","36.6837611948439","33.8166353052178","36.3751688873344","36.7841547359988","10","SESI","SESI","Asia"
