"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","New Caledonia","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","New Caledonia","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","New Caledonia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"4","New Caledonia","85.5470625","85.5981475","85.6529866666667","85.7039583333333","85.754845","85.7719583333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"5","New Caledonia","85.731","85.655","85.541","85.427","85.313","85.199","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"6","New Caledonia","95.7276315","95.943367","96.1591025","96.3748285","96.590564","96.80629","Human health and welfare","human health","Drinking water contamination","Oceania"
"7","New Caledonia","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","renewable ressources","renewable ressources","Oceania"
"8","New Caledonia",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"9","New Caledonia","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","Source","Source","Oceania"
"10","New Caledonia","5","5","5","5","5","5","Sink","global System","global System","Oceania"
"11","New Caledonia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"12","New Caledonia","5","5","5","5","5","5","Sink","Sink","Sink","Oceania"
"13","New Caledonia","85.6389818668315","85.6265690315366","85.5969750192922","85.5653671092555","85.5336371931242","85.4849991404437","Life support","ecosystem health","ecosystem health","Oceania"
"14","New Caledonia","85.6389818668315","85.6265690315366","85.5969750192922","85.5653671092555","85.5336371931242","85.4849991404437","Life support","Life support","Life support","Oceania"
"15","New Caledonia","95.7276315","95.943367","96.1591025","96.3748285","96.590564","96.80629","Human health and welfare","human health","human health","Oceania"
"16","New Caledonia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"17","New Caledonia","95.7276315","95.943367","96.1591025","96.3748285","96.590564","96.80629","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"18","New Caledonia","43.9913392153325","44.0145083917541","43.7101779471258","43.7306345336047","43.7510298719701","43.769213428463","6","SESI layer","SESI layer","Oceania"
