"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","New Zealand","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","New Zealand","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","New Zealand","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Oceania"
"4","New Zealand",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"5","New Zealand","88.8375","88.8375","88.8375","88.8375","88.8375","88.8375","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"6","New Zealand","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"7","New Zealand","82.9540481400438","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"8","New Zealand","93.92","93.92","93.92","93.92","93.92","62.2375","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania"
"9","New Zealand",NA,NA,NA,NA,NA,"5","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania"
"10","New Zealand","48.2089708333333","48.2100191666667","48.2197233333333","48.2322325","48.2446141666667","48.2449258333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"11","New Zealand","80.316","79.0715","78.7295","78.606","78.5965","78.7295","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"12","New Zealand","93.8566666666667","93.9516666666667","93.2233333333333","92.2416666666667","88.5683333333333","88.5683333333333","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"13","New Zealand","95.763627","97.025246","98.286865","99.548484","100","100","Human health and welfare","human health","Drinking water contamination","Oceania"
"14","New Zealand","68.3333365","68.3333365","68.3333365","68.3333365","68.3333365","68.3333365","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania"
"15","New Zealand","95.2530648889905","95.2530648889905","94.6064978916812","94.6064978916812","94.6064978916812","94.6064978916812","Source","renewable ressources","renewable ressources","Oceania"
"16","New Zealand","88.8375","88.8375","88.8375","88.8375","88.8375","88.8375","Source","non-renewable ressources","non-renewable ressources","Oceania"
"17","New Zealand","91.9893697775764","91.9893697775764","91.67663146327","91.67663146327","91.67663146327","91.67663146327","Source","Source","Source","Oceania"
"18","New Zealand","20.3659087865044","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Oceania"
"19","New Zealand","93.92","93.92","93.92","93.92","93.92","17.6405073623181","Sink","critical ecosystems","critical ecosystems","Oceania"
"20","New Zealand","43.735182098952","45.8270121704198","45.8270121704198","45.8270121704198","45.8270121704198","19.8608594022839","Sink","Sink","Sink","Oceania"
"21","New Zealand","62.2250086496579","61.741708192575","61.6142411149538","61.573881377537","61.5780627930956","61.6303406480559","Life support","ecosystem health","ecosystem health","Oceania"
"22","New Zealand","62.2250086496579","61.741708192575","61.6142411149538","61.573881377537","61.5780627930956","61.6303406480559","Life support","Life support","Life support","Oceania"
"23","New Zealand","94.8053522652071","95.4760889984678","95.7216233574386","95.8254563166803","94.1107503600589","94.1107503600589","Human health and welfare","human health","human health","Oceania"
"24","New Zealand","68.3333365","68.3333365","68.3333365","68.3333365","68.3333365","68.3333365","Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"25","New Zealand","80.4882975241708","80.7725183291709","80.8763123492294","80.9201652973705","80.1929022583757","80.1929022583757","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"26","New Zealand","66.9987302985815","67.713515650779","67.6426570665515","67.6407431736001","67.4893951513797","54.7705113924918","14","SESI","SESI","Oceania"
