"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Nicaragua","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","America"
"2","Nicaragua","74.82975","74.82975","75.33325","75.33325","75.33325","75.33325","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Nicaragua","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Nicaragua",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Nicaragua","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Nicaragua","73.53091475","74.2517415","75.47252475","77.46434225","76.943355125","80.100342875","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Nicaragua","11.2438383174499","23.8876109102859","34.3460400920145","84.7650345054223","53.8580348340453","40.9553123575011","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Nicaragua","52.2544891666667","51.945925","51.6507341666667","51.3117258333333","50.9491158333333","50.519115","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Nicaragua","87.745","87.517","87.3175","87.2225","87.023","86.795","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Nicaragua","50.5683333333333","53.8933333333333","57.44","61.24","65.1666666666667","65.1666666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Nicaragua","73.9594455","75.066908","76.1168765","77.165971","78.213897","79.2594575","Human health and welfare","human health","Drinking water contamination","America"
"12","Nicaragua","33.4463014359533","33.4463014359533","33.5211494874308","33.5211494874308","33.5211494874308","33.5211494874308","Source","renewable ressources","renewable ressources","America"
"13","Nicaragua","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","America"
"14","Nicaragua","12.9318021628761","12.9318021628761","12.9462638408598","12.9462638408598","12.9462638408598","12.9462638408598","Source","Source","Source","America"
"15","Nicaragua","28.7536035443071","42.1152788232861","50.9134791672015","81.0325097955203","64.374046793491","57.2759509950604","Sink","global System","global System","America"
"16","Nicaragua",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"17","Nicaragua","28.7536035443071","42.1152788232861","50.9134791672015","81.0325097955203","64.374046793491","57.2759509950604","Sink","Sink","Sink","America"
"18","Nicaragua","67.7131460790973","67.4251549366036","67.1566302057952","66.8994544559065","66.5863717825515","66.2178721073473","Life support","ecosystem health","ecosystem health","America"
"19","Nicaragua","67.7131460790973","67.4251549366036","67.1566302057952","66.8994544559065","66.5863717825515","66.2178721073473","Life support","Life support","Life support","America"
"20","Nicaragua","61.1555875876644","63.6050775893455","66.1222608972198","68.7433201412326","71.3928494633741","71.8684537685578","Human health and welfare","human health","human health","America"
"21","Nicaragua",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Nicaragua","61.1555875876644","63.6050775893455","66.1222608972198","68.7433201412326","71.3928494633741","71.8684537685578","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Nicaragua","35.2261448831666","39.0933707288024","41.3621833064135","46.8666817760647","44.6142742968942","43.3418626056927","11","SESI layer","SESI layer","America"
