"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Nigeria","5.84404333333331","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Nigeria","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Nigeria","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Nigeria",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Nigeria","39.31875","39.31875","39.31875","39.31875","39.31875","39.31875","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Nigeria","96.709606125","97.8676205","98.0735235","98.2386335","97.93500875","99.78301525","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Nigeria","24.2170307508632","28.1897970378497","18.6625149236875","13.9295279274628","26.8410183601691","29.4114622915642","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Nigeria","55.9675","55.9675","55.9675","55.9675","55.9675","15.8775","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Nigeria","28.6586166666667","28.51491","28.3430258333333","28.2277516666667","28.1572866666667","27.9740691666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"10","Nigeria","87.783","87.745","82.786","79.9835","80.829","81.912","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"11","Nigeria","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"12","Nigeria","26.1380035","26.527361","26.9107335","27.28814","27.6596755","28.0254445","Human health and welfare","human health","Drinking water contamination","Africa"
"13","Nigeria","32.5997698093698","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","Source","renewable ressources","renewable ressources","Africa"
"14","Nigeria","39.31875","39.31875","39.31875","39.31875","39.31875","39.31875","Source","non-renewable ressources","non-renewable ressources","Africa"
"15","Nigeria","35.8019859671521","34.8832184341143","34.8832184341143","34.8832184341143","34.8832184341143","34.8832184341143","Source","Source","Source","Africa"
"16","Nigeria","48.3944160563282","52.5249308278678","42.7819891535839","36.9921314456741","51.2706092021742","54.1734657407476","Sink","global System","global System","Africa"
"17","Nigeria","55.9675","55.9675","55.9675","55.9675","55.9675","15.8775","Sink","critical ecosystems","critical ecosystems","Africa"
"18","Nigeria","52.0433903645079","54.21889952875","48.932616708625","45.5011770912112","53.5676004738189","29.3281298806917","Sink","Sink","Sink","Africa"
"19","Nigeria","50.1571465182181","50.0204036164244","48.4397123921925","47.5158328921091","47.7066591156832","47.8686949224648","Life support","ecosystem health","ecosystem health","Africa"
"20","Nigeria","50.1571465182181","50.0204036164244","48.4397123921925","47.5158328921091","47.7066591156832","47.8686949224648","Life support","Life support","Life support","Africa"
"21","Nigeria","11.4319734735521","11.5168053296042","11.5997270442024","11.6807833641413","11.7600330569263","11.8375344772465","Human health and welfare","human health","human health","Africa"
"22","Nigeria",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"23","Nigeria","11.4319734735521","11.5168053296042","11.5997270442024","11.6807833641413","11.7600330569263","11.8375344772465","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"24","Nigeria","32.1500521728144","32.3081146914106","31.2943603039641","30.6363747841016","31.998275385897","27.5932871598661","12","SESI","SESI","Africa"
