"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Niue",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Oceania"
"2","Niue","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Niue",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Niue",NA,NA,NA,NA,NA,NA,"Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"5","Niue",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"6","Niue","81.2375","84.5055","84.3725","84.2395","84.1065","83.9735","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"7","Niue","95.155","94.4583333333333","94.8066666666667","94.5216666666667","94.49","94.49","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"8","Niue","96.798576","96.6586125","96.518649","96.378695","96.2387315","96.2387315","Human health and welfare","human health","Drinking water contamination","Oceania"
"9","Niue","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","renewable ressources","renewable ressources","Oceania"
"10","Niue",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"11","Niue","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","Source","Source","Oceania"
"12","Niue",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"13","Niue",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"14","Niue",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"15","Niue","81.2375","84.5055","84.3725","84.2395","84.1065","83.9735","Life support","ecosystem health","ecosystem health","Oceania"
"16","Niue","81.2375","84.5055","84.3725","84.2395","84.1065","83.9735","Life support","Life support","Life support","Oceania"
"17","Niue","95.9732697123527","95.552139897872","95.6588280445668","95.4456645561145","95.3603572740528","95.3603572740528","Human health and welfare","human health","human health","Oceania"
"18","Niue",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"19","Niue","95.9732697123527","95.552139897872","95.6588280445668","95.4456645561145","95.3603572740528","95.3603572740528","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"20","Niue","87.9766744668338","89.0103261357613","88.9967032288231","88.8837952099293","88.8105182964452","88.7636807332758","8","SESI","SESI","Oceania"
