"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Norfolk Island","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Oceania"
"2","Norfolk Island","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Norfolk Island",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"4","Norfolk Island","88.657","88.6475","88.6285","88.6095","88.6","88.581","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"5","Norfolk Island","20.7875563739464","20.7875563739464","20.5762605932176","20.5762605932176","20.5762605932176","20.5762605932176","Source","renewable ressources","renewable ressources","Oceania"
"6","Norfolk Island",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"7","Norfolk Island","20.7875563739464","20.7875563739464","20.5762605932176","20.5762605932176","20.5762605932176","20.5762605932176","Source","Source","Source","Oceania"
"8","Norfolk Island",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"9","Norfolk Island",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"10","Norfolk Island",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"11","Norfolk Island","88.657","88.6475","88.6285","88.6095","88.6","88.581","Life support","ecosystem health","ecosystem health","Oceania"
"12","Norfolk Island","88.657","88.6475","88.6285","88.6095","88.6","88.581","Life support","Life support","Life support","Oceania"
"13","Norfolk Island",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Oceania"
"14","Norfolk Island",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"15","Norfolk Island",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"16","Norfolk Island","42.9297377751713","42.9274376554135","42.7041346005979","42.6995569419018","42.6972679285113","42.6926895335467","4","SESI layer","SESI layer","Oceania"
