"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Northern Mariana Islands","25.1059266666667","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Oceania"
"2","Northern Mariana Islands","80.5725","80.8575","80.772","80.6865","80.5915","80.4395","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"3","Northern Mariana Islands","25.1059266666667","5","5","5","5","5","Source","renewable ressources","renewable ressources","Oceania"
"4","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"5","Northern Mariana Islands","25.1059266666667","5","5","5","5","5","Source","Source","Source","Oceania"
"6","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"7","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"8","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"9","Northern Mariana Islands","80.5725","80.8575","80.772","80.6865","80.5915","80.4395","Life support","ecosystem health","ecosystem health","Oceania"
"10","Northern Mariana Islands","80.5725","80.8575","80.772","80.6865","80.5915","80.4395","Life support","Life support","Life support","Oceania"
"11","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Oceania"
"12","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"13","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"14","Northern Mariana Islands","44.9760744879986","20.1069018001282","20.0962683103107","20.085629191041","20.0738013340772","20.054862253329","2","SESI layer","SESI layer","Oceania"
