"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Oman","100","57.7777566666667","36.6666666666667","15.5555766666666","5","5","Source","renewable ressources","state of forest reccources","Asia"
"2","Oman","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Oman","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Oman","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"5","Oman","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Oman","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Oman","25.4752230368342","32.8261637664517","41.8218355268969","35.9813620704885","40.2442363748785","26.1395662296287","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Oman",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Oman","80.8195","80.1355","79.2615","79.233","79.746","75.87","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Oman","5","5","5","5","5.37999999999999","5.37999999999999","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Oman","96.5525545","97.2594305","97.960217","98.655731","99.3213105","99.723968","Human health and welfare","human health","Drinking water contamination","Asia"
"12","Oman","20.3305058733903","17.7250861211541","15.9086780121971","12.8391940627339","9.66737878575318","9.66737878575318","Source","renewable ressources","renewable ressources","Asia"
"13","Oman","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Oman","10.0822879033953","9.41410806214643","8.91871011194923","8.01223878286646","6.95247394304832","6.95247394304832","Source","Source","Source","Asia"
"15","Oman","11.2861027455969","12.811355074006","14.4606077892488","13.4129344422629","14.185245217281","11.4323152138201","Sink","global System","global System","Asia"
"16","Oman",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Oman","11.2861027455969","12.811355074006","14.4606077892488","13.4129344422629","14.185245217281","11.4323152138201","Sink","Sink","Sink","Asia"
"18","Oman","80.8195","80.1355","79.2615","79.233","79.746","75.87","Life support","ecosystem health","ecosystem health","Asia"
"19","Oman","80.8195","80.1355","79.2615","79.233","79.746","75.87","Life support","Life support","Life support","Asia"
"20","Oman","21.9718632004662","22.0521462107433","22.131450133238","22.2098774197428","23.1159825767801","23.1627923152628","Human health and welfare","human health","human health","Asia"
"21","Oman",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Oman","21.9718632004662","22.0521462107433","22.131450133238","22.2098774197428","23.1159825767801","23.1627923152628","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Oman","21.2017414949357","21.4863435451638","21.8092227588245","20.8536695228906","20.6490164908953","19.3323050497461","11","SESI layer","SESI layer","Asia"
