"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Palau","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Palau","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Palau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Palau","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Palau","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"6","Palau","47.75","43","52.5","66.75","95.25","81","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"7","Palau",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"8","Palau","84.99","85.0755","84.971","77.561","78.0265","83.888","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"9","Palau","90.4366666666667","91.7983333333333","92.0833333333333","91.2283333333333","91.07","91.07","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"10","Palau","97.2717235","97.3514665","97.427666","97.48858","97.5468055","97.602656","Human health and welfare","human health","Drinking water contamination","Oceania"
"11","Palau","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania"
"12","Palau","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","renewable ressources","renewable ressources","Oceania"
"13","Palau","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"14","Palau","95.586147857833","95.586147857833","94.1793606342424","94.1793606342424","94.1793606342424","94.1793606342424","Source","Source","Source","Oceania"
"15","Palau","15.4515371403624","14.6628782986152","16.2018517460196","18.2688259064451","21.8231528427952","20.1246117974981","Sink","global System","global System","Oceania"
"16","Palau",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"17","Palau","15.4515371403624","14.6628782986152","16.2018517460196","18.2688259064451","21.8231528427952","20.1246117974981","Sink","Sink","Sink","Oceania"
"18","Palau","84.99","85.0755","84.971","77.561","78.0265","83.888","Life support","ecosystem health","ecosystem health","Oceania"
"19","Palau","84.99","85.0755","84.971","77.561","78.0265","83.888","Life support","Life support","Life support","Oceania"
"20","Palau","93.7919529291382","94.5341333712635","94.7178137636562","94.3065250787735","94.2527855126043","94.2797639046683","Human health and welfare","human health","human health","Oceania"
"21","Palau","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"22","Palau","70.1717715949922","70.4488608991752","70.5172689671966","70.36400050193","70.3439495579522","70.354016267695","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"23","Palau","54.4783856947703","53.8360476459201","54.9884719382659","55.3560476454349","57.9542816155071","57.831971291549","11","SESI layer","SESI layer","Oceania"
