"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Palestine",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Palestine","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Palestine","25.938","24.0253333333333","25.368","27.4833333333333","32.8793333333333","36.996","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Palestine","15.5555513333333","15.5555513333333","17.2444486666667","18.9333333333333","22.3111153333333","24","Source","renewable ressources","Groundwater stress","Asia"
"5","Palestine",NA,NA,NA,NA,"100","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"6","Palestine",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"7","Palestine","79.1674975","79.47753","79.7872585","80.096569","80.4055375","80.713993","Human health and welfare","human health","Drinking water contamination","Asia"
"8","Palestine","25.4693696324447","24.8272818724383","26.0961419235533","27.6500945091644","31.0036305311371","33.040995881705","Source","renewable ressources","renewable ressources","Asia"
"9","Palestine",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Asia"
"10","Palestine","25.4693696324447","24.8272818724383","26.0961419235533","27.6500945091644","31.0036305311371","33.040995881705","Source","Source","Source","Asia"
"11","Palestine",NA,NA,NA,NA,"100","100","Sink","global System","global System","Asia"
"12","Palestine",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"13","Palestine",NA,NA,NA,NA,"100","100","Sink","Sink","Sink","Asia"
"14","Palestine",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","ecosystem health","Asia"
"15","Palestine",NA,NA,NA,NA,NA,NA,"Life support","Life support","Life support","Asia"
"16","Palestine","79.1674975","79.47753","79.7872585","80.096569","80.4055375","80.713993","Human health and welfare","human health","human health","Asia"
"17","Palestine",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"18","Palestine","79.1674975","79.47753","79.7872585","80.096569","80.4055375","80.713993","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"19","Palestine","44.90374435059","44.4208401522886","45.630468127198","47.0603623308386","62.9360531732656","64.3676006149272","7","SESI layer","SESI layer","Asia"
