"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Panama","55.85939","54.2853666666666","52.7098866666667","51.1358633333333","49.5603833333333","47.98636","Source","renewable ressources","state of forest reccources","America"
"2","Panama","74.82975","74.82975","75.33325","75.33325","75.33325","75.33325","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Panama","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Panama",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Panama","18.18125","18.18125","18.18125","18.18125","18.18125","18.18125","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Panama","45.931339","46.618219875","51.08284225","52.930352375","36.372398625","48.9353625","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Panama","25.3896600598439","21.884519336768","29.6642219172535","30.4763886701613","38.9400211478324","33.4564260975381","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Panama",NA,NA,NA,NA,NA,"82.71","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Panama","71.7259775","71.6463608333333","71.3362241666667","71.1261041666667","70.8008091666667","70.6511808333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Panama","86.3865","83.9925","83.2325","84.306","85.674","84.3155","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Panama","68.745","71.3733333333333","73.4633333333333","76.6616666666667","78.53","78.53","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Panama","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"13","Panama","74.7693309219817","74.0603380315498","73.500946011744","72.7619113569586","72.0068457209144","71.2363245617839","Source","renewable ressources","renewable ressources","America"
"14","Panama","18.18125","18.18125","18.18125","18.18125","18.18125","18.18125","Source","non-renewable ressources","non-renewable ressources","America"
"15","Panama","36.8700406539684","36.6948159940354","36.555971805931","36.3717266686461","36.1825159954829","35.9884068269065","Source","Source","Source","America"
"16","Panama","34.149393600816","31.9408411645677","38.9272753820256","40.1637397590052","37.6343190672409","40.4623570623053","Sink","global System","global System","America"
"17","Panama",NA,NA,NA,NA,NA,"82.71","Sink","critical ecosystems","critical ecosystems","America"
"18","Panama","34.149393600816","31.9408411645677","38.9272753820256","40.1637397590052","37.6343190672409","57.8501646723955","Sink","Sink","Sink","America"
"19","Panama","78.7156665175602","77.5742029433352","77.0551249298324","77.4361500713653","77.8831722809555","77.1815368955096","Life support","ecosystem health","ecosystem health","America"
"20","Panama","78.7156665175602","77.5742029433352","77.0551249298324","77.4361500713653","77.8831722809555","77.1815368955096","Life support","Life support","Life support","America"
"21","Panama","68.745","71.3733333333333","73.4633333333333","76.6616666666667","78.53","78.53","Human health and welfare","human health","human health","America"
"22","Panama","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"23","Panama","44.456931405575","45.2988226484236","45.957271822132","46.9470224472934","47.5156553148539","47.5156553148539","Human health and welfare","Human health and welfare","Human health and welfare","America"
"24","Panama","45.8156991305579","45.0493806927027","47.3796695501165","48.0051097830665","47.3795351317526","52.5659286928511","12","SESI","SESI","America"
