"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Papua New Guinea","93.68003","93.0795033333333","92.4946833333333","91.9116366666667","91.32859","90.74548","Source","renewable ressources","state of forest reccources","Oceania"
"2","Papua New Guinea","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Papua New Guinea","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Oceania"
"4","Papua New Guinea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"5","Papua New Guinea","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"6","Papua New Guinea","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"7","Papua New Guinea","26.7142857142857","32.1428571428571","34.0588235294118","41.0840336134454","59.9243697478992","52.1566265060241","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"8","Papua New Guinea","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"9","Papua New Guinea","86.7285","86.7665","85.0185","83.8975","82.1685","86.111","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"10","Papua New Guinea","87.4283333333333","88.315","87.745","87.555","87.6816666666667","87.6816666666667","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"11","Papua New Guinea","92.1316721404819","91.9343829469545","89.9455966456562","89.7562053655782","89.5660114394425","89.3749855164336","Source","renewable ressources","renewable ressources","Oceania"
"12","Papua New Guinea","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"13","Papua New Guinea","95.9852447725597","95.8824191116153","94.8396523853057","94.7397516175645","94.6393213413127","94.538344345791","Source","Source","Source","Oceania"
"14","Papua New Guinea","51.6858643289301","56.694670951384","58.3599379107036","64.0968280131282","77.4108324124597","72.219544796422","Sink","global System","global System","Oceania"
"15","Papua New Guinea",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"16","Papua New Guinea","51.6858643289301","56.694670951384","58.3599379107036","64.0968280131282","77.4108324124597","72.219544796422","Sink","Sink","Sink","Oceania"
"17","Papua New Guinea","93.1281375310384","93.1485372939372","92.2054770607473","91.5955784959078","90.6468421954124","92.7960128453804","Life support","ecosystem health","ecosystem health","Oceania"
"18","Papua New Guinea","93.1281375310384","93.1485372939372","92.2054770607473","91.5955784959078","90.6468421954124","92.7960128453804","Life support","Life support","Life support","Oceania"
"19","Papua New Guinea","87.4283333333333","88.315","87.745","87.555","87.6816666666667","87.6816666666667","Human health and welfare","human health","human health","Oceania"
"20","Papua New Guinea",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"21","Papua New Guinea","87.4283333333333","88.315","87.745","87.555","87.6816666666667","87.6816666666667","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"22","Papua New Guinea","79.7218455945017","81.7754483034883","81.8033271768621","83.5374204365716","87.3541832878505","86.3326780343295","10","SESI layer","SESI layer","Oceania"
