"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Peru","73.9561933333334","72.4278966666667","70.9718","69.6542133333334","68.2205366666667","66.7867966666666","Source","renewable ressources","state of forest reccources","America"
"2","Peru","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Peru","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Peru","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Peru","43.7125","43.7125","43.7125","43.7125","43.7125","43.7125","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Peru","75.637295125","73.968667625","77.187505125","78.04397525","77.40857725","84.66015525","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Peru","10.403329596878","12.8091916801594","12.3753476979283","22.1565574791381","35.5662805662806","33.1712443139287","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Peru","39.96","39.96","39.96","39.96","39.96","28.37","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Peru","100","100","89.9094891666667","89.8041316666667","89.7325191666667","89.65405","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Peru","73.799","75.7465","76.307","74.065","73.2575","76.3735","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Peru","19.915","22.4483333333333","27.9266666666667","24.6016666666667","23.7783333333333","23.7783333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Peru","52.3985115","52.6586785","52.917582","53.1777395","53.4387425","53.7009235","Human health and welfare","human health","Drinking water contamination","America"
"13","Peru","28.75","28.75","34.6875","34.6875","34.6875","34.6875","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"14","Peru","89.4134507862359","88.9478975628395","88.0465168239008","87.6349962875951","87.1805305298221","86.7188236699389","Source","renewable ressources","renewable ressources","America"
"15","Peru","43.7125","43.7125","43.7125","43.7125","43.7125","43.7125","Source","non-renewable ressources","non-renewable ressources","America"
"16","Peru","62.5178811820533","62.3549113720453","62.0381605680307","61.8930107138237","61.7323168266415","61.5686330827005","Source","Source","Source","America"
"17","Peru","28.0513762764273","30.7811442596702","30.9066694073868","41.5834801757508","52.4703266304881","52.9932325250393","Sink","global System","global System","America"
"18","Peru","39.96","39.96","39.96","39.96","39.96","28.37","Sink","critical ecosystems","critical ecosystems","America"
"19","Peru","33.4803374535866","35.0715629052431","35.1430008610417","40.7636586658141","45.7898924671625","38.7739346305655","Sink","Sink","Sink","America"
"20","Peru","85.90634435244","87.032465206956","82.8294838197175","81.5557662700294","81.077617274141","82.7477708924839","Life support","ecosystem health","ecosystem health","America"
"21","Peru","85.90634435244","87.032465206956","82.8294838197175","81.5557662700294","81.077617274141","82.7477708924839","Life support","Life support","Life support","America"
"22","Peru","32.3035037808981","34.3816748844618","38.4423161804801","36.1698910872819","35.6466580772892","35.7339958483631","Human health and welfare","human health","human health","America"
"23","Peru","28.75","28.75","34.6875","34.6875","34.6875","34.6875","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"24","Peru","30.4750017834424","31.4399928900799","36.5166789633231","35.4209415048512","35.1638088388611","35.2068598569951","Human health and welfare","Human health and welfare","Human health and welfare","America"
"25","Peru","48.3827739034095","49.4592330529864","50.6749695025207","51.9585932956899","53.2806815910473","51.3535823922823","13","SESI","SESI","America"
