"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Pitcairn",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Oceania"
"2","Pitcairn","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Pitcairn",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"4","Pitcairn","85.959","85.883","85.8165","85.75","85.674","85.6075","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"5","Pitcairn","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","renewable ressources","Oceania"
"6","Pitcairn",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"7","Pitcairn","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","Source","Source","Oceania"
"8","Pitcairn",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"9","Pitcairn",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"10","Pitcairn",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"11","Pitcairn","85.959","85.883","85.8165","85.75","85.674","85.6075","Life support","ecosystem health","ecosystem health","Oceania"
"12","Pitcairn","85.959","85.883","85.8165","85.75","85.674","85.6075","Life support","Life support","Life support","Oceania"
"13","Pitcairn",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Oceania"
"14","Pitcairn",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"15","Pitcairn",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"16","Pitcairn","84.7101784940865","84.6727222811455","82.1668947706435","82.1350526571938","82.0986465479182","82.0667779539931","4","SESI layer","SESI layer","Oceania"
