"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Portugal","85.93924","85.93924","85.93924","85.93924","85.93924","85.93924","Source","renewable ressources","state of forest reccources","Europe"
"2","Portugal","67.03975","67.03975","69.81375","69.81375","69.81375","69.81375","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Portugal","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Portugal","68.65","61.3666666666667","34.45","34.1333333333333","34.1333333333333","34.1333333333333","Source","renewable ressources","Groundwater stress","Europe"
"5","Portugal","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Portugal","5","5","5","5","5","16.03139525","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Portugal","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Portugal","71.4961658333333","71.4610608333333","71.4000733333333","71.3513258333333","71.2728566666667","71.2084975","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"9","Portugal","74.996","73.267","73.6185","73.514","74.255","73.9225","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"10","Portugal","88.3466666666667","89.17","87.2066666666667","90.8166666666667","92.59","92.59","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Portugal","98.445249","98.45473","98.464116","98.4733785","98.482546","98.49159","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Portugal","52.5","52.5","28.75","28.75","28.75","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Portugal","79.3032724933872","77.1106043935966","67.4264702863442","67.2709861597994","67.2709861597994","67.2709861597994","Source","renewable ressources","renewable ressources","Europe"
"14","Portugal","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Portugal","89.0523848604782","87.8126439606487","82.113622673917","82.0188918236521","82.0188918236521","82.0188918236521","Source","Source","Source","Europe"
"16","Portugal","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","40.0392248301587","Sink","global System","global System","Europe"
"17","Portugal",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"18","Portugal","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","40.0392248301587","Sink","Sink","Sink","Europe"
"19","Portugal","73.2251763592049","72.3583965001701","72.5008020554945","72.4245909019282","72.7486492780679","72.552809431777","Life support","ecosystem health","ecosystem health","Europe"
"20","Portugal","73.2251763592049","72.3583965001701","72.5008020554945","72.4245909019282","72.7486492780679","72.552809431777","Life support","Life support","Life support","Europe"
"21","Portugal","93.2593673489157","93.6974293889646","92.6645959503413","94.5675631005421","95.4908316758211","95.4952162053158","Human health and welfare","human health","human health","Europe"
"22","Portugal","52.5","52.5","28.75","28.75","28.75","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Portugal","69.972257258274","70.1364031222064","51.6149894272227","52.1422807243851","52.3961965287544","70.8060650705791","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Portugal","56.5170150914472","56.1847716217837","51.1982029019905","51.3001628040894","51.4198610800671","64.0886410766106","12","SESI","SESI","Europe"
