"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Puerto Rico","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Puerto Rico","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Puerto Rico","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Puerto Rico",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Puerto Rico","100","98.510977125","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","America"
"6","Puerto Rico","37.4961516666667","39.207655","40.9921875","42.8428641666667","44.7621358333333","46.6424491666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"7","Puerto Rico","79.1095","78.9955","78.853","78.7105","78.5585","78.397","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"8","Puerto Rico","99.3250915","99.4650075","99.6049235","99.74483","99.8701635","99.8701635","Human health and welfare","human health","Drinking water contamination","America"
"9","Puerto Rico","85.4180101579947","85.4180101579947","85.8756088810121","85.8756088810121","85.8756088810121","85.8756088810121","Source","renewable ressources","renewable ressources","America"
"10","Puerto Rico",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"11","Puerto Rico","85.4180101579947","85.4180101579947","85.8756088810121","85.8756088810121","85.8756088810121","85.8756088810121","Source","Source","Source","America"
"12","Puerto Rico","100","98.510977125","100","100","100","100","Sink","global System","global System","America"
"13","Puerto Rico",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"14","Puerto Rico","100","98.510977125","100","100","100","100","Sink","Sink","Sink","America"
"15","Puerto Rico","54.463766030951","55.6527475561854","56.8538209880172","58.0705024947298","59.2996310938181","60.4700594287716","Life support","ecosystem health","ecosystem health","America"
"16","Puerto Rico","54.463766030951","55.6527475561854","56.8538209880172","58.0705024947298","59.2996310938181","60.4700594287716","Life support","Life support","Life support","America"
"17","Puerto Rico","99.3250915","99.4650075","99.6049235","99.74483","99.8701635","99.8701635","Human health and welfare","human health","human health","America"
"18","Puerto Rico",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"19","Puerto Rico","99.3250915","99.4650075","99.6049235","99.74483","99.8701635","99.8701635","Human health and welfare","Human health and welfare","Human health and welfare","America"
"20","Puerto Rico","82.4477907884003","82.6128779425103","83.5079020870998","83.9805959085897","84.4480052334687","84.8616548322543","8","SESI","SESI","America"
