"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Saint Helena",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Africa"
"2","Saint Helena","69.2675","69.2675","69.2675","69.2675","69.2675","69.2675","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Saint Helena",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"4","Saint Helena",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"5","Saint Helena","88.068","88.2865","88.239","88.1915","88.144","88.087","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"6","Saint Helena","69.2675","69.2675","69.2675","69.2675","69.2675","69.2675","Source","renewable ressources","renewable ressources","Africa"
"7","Saint Helena",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Africa"
"8","Saint Helena","69.2675","69.2675","69.2675","69.2675","69.2675","69.2675","Source","Source","Source","Africa"
"9","Saint Helena",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Africa"
"10","Saint Helena",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"11","Saint Helena",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Africa"
"12","Saint Helena","88.068","88.2865","88.239","88.1915","88.144","88.087","Life support","ecosystem health","ecosystem health","Africa"
"13","Saint Helena","88.068","88.2865","88.239","88.1915","88.144","88.087","Life support","Life support","Life support","Africa"
"14","Saint Helena",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Africa"
"15","Saint Helena",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"16","Saint Helena",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"17","Saint Helena","78.1040984199933","78.2009279916166","78.1798882865664","78.1588429178043","78.1377918807538","78.1125231477002","5","SESI layer","SESI layer","Africa"
