"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Saint Lucia","85.86894","85.86894","85.86894","85.86894","85.86894","85.86894","Source","renewable ressources","state of forest reccources","America"
"2","Saint Lucia","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Saint Lucia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Saint Lucia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Saint Lucia","90.85625","90.85625","90.85625","90.85625","90.85625","90.85625","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Saint Lucia","24.529361375","23.412712375","50.74188725","52.514964875","20.247184125","38.6418275","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Saint Lucia","54.4387755102041","36.9897959183673","37.9591836734694","39.8979591836735","69.9489795918367","95.9859154929577","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Saint Lucia",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Saint Lucia","88.03","87.8305","85.5125","87.27","87.365","87.4695","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Saint Lucia","85.37","85.56","84.0716666666667","85.7183333333333","87.3966666666667","87.3966666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Saint Lucia","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"12","Saint Lucia","81.1885560426034","81.1885560426034","81.6234968648024","81.6234968648024","81.6234968648024","81.6234968648024","Source","renewable ressources","renewable ressources","America"
"13","Saint Lucia","90.85625","90.85625","90.85625","90.85625","90.85625","90.85625","Source","non-renewable ressources","non-renewable ressources","America"
"14","Saint Lucia","85.8864817357527","85.8864817357527","86.1162286507178","86.1162286507178","86.1162286507178","86.1162286507178","Source","Source","Source","America"
"15","Saint Lucia","36.5424191495623","29.4284123364935","43.8875907069553","45.7737908099689","37.6333611195145","60.9021443703623","Sink","global System","global System","America"
"16","Saint Lucia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"17","Saint Lucia","36.5424191495623","29.4284123364935","43.8875907069553","45.7737908099689","37.6333611195145","60.9021443703623","Sink","Sink","Sink","America"
"18","Saint Lucia","88.03","87.8305","85.5125","87.27","87.365","87.4695","Life support","ecosystem health","ecosystem health","America"
"19","Saint Lucia","88.03","87.8305","85.5125","87.27","87.365","87.4695","Life support","Life support","Life support","America"
"20","Saint Lucia","85.37","85.56","84.0716666666667","85.7183333333333","87.3966666666667","87.3966666666667","Human health and welfare","human health","human health","America"
"21","Saint Lucia","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Saint Lucia","49.5417753012546","49.59687490155","49.1636086619632","49.642744518543","50.1263819427122","50.1263819427122","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Saint Lucia","60.8248565854297","57.6033615451519","63.1357035967476","64.2844097425487","61.3783857850935","69.2484644199437","11","SESI","SESI","America"
