"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Saint Martin",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","Saint Martin","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Saint Martin",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"4","Saint Martin","91.735","91.2885","88.6475","90.785","90.994","91.1935","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"5","Saint Martin","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","renewable ressources","America"
"6","Saint Martin",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"7","Saint Martin","62.323","62.323","63.33","63.33","63.33","63.33","Source","Source","Source","America"
"8","Saint Martin",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"9","Saint Martin",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"10","Saint Martin",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"11","Saint Martin","91.735","91.2885","88.6475","90.785","90.994","91.1935","Life support","ecosystem health","ecosystem health","America"
"12","Saint Martin","91.735","91.2885","88.6475","90.785","90.994","91.1935","Life support","Life support","Life support","America"
"13","Saint Martin",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"14","Saint Martin",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"15","Saint Martin",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"16","Saint Martin","75.6121710110218","75.4279337215332","74.9269389138513","75.8248907021962","75.9121203761297","75.9952916633656","4","SESI","SESI","America"
