"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Samoa","58.2532633333334","56.52249","54.79178","53.06107","51.3302966666666","49.5995866666667","Source","renewable ressources","state of forest reccources","Oceania"
"2","Samoa","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Samoa",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Samoa","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Samoa","82.28488925","80.698268125","82.652354","83.713534875","79.741860375","79.993171","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"6","Samoa","78.0769230769231","81.2541806020067","78.0769230769231","97.1404682274248","97.1404682274248","81.3819095477387","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"7","Samoa",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania"
"8","Samoa","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"9","Samoa","80.8955","80.772","80.6485","80.5155","80.392","80.2685","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"10","Samoa","91.26","91.7033333333333","91.545","91.2283333333333","91.1966666666667","91.1966666666667","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"11","Samoa","48.676934","48.780446","48.8711045","48.920286","48.918614","48.9171225","Human health and welfare","human health","Drinking water contamination","Oceania"
"12","Samoa","71.3276673746707","70.2600629652792","69.176023982085","68.0747246785104","66.9552720465561","65.8168238440092","Source","renewable ressources","renewable ressources","Oceania"
"13","Samoa","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"14","Samoa","84.4557087322525","83.8212759180384","83.1721251274037","82.5074085634196","81.8262012111989","81.1275685843038","Source","Source","Source","Oceania"
"15","Samoa","80.1532966780867","80.9757473105245","80.3320700927383","90.1774471513269","88.0122812688856","80.6845524667442","Sink","global System","global System","Oceania"
"16","Samoa",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","critical ecosystems","Oceania"
"17","Samoa","80.1532966780867","80.9757473105245","80.3320700927383","90.1774471513269","88.0122812688856","89.8245804146862","Sink","Sink","Sink","Oceania"
"18","Samoa","89.9419257076476","89.8732440718593","89.804509909024","89.7304296211714","89.6615859774965","89.5926894339042","Life support","ecosystem health","ecosystem health","Oceania"
"19","Samoa","89.9419257076476","89.8732440718593","89.804509909024","89.7304296211714","89.6615859774965","89.5926894339042","Life support","Life support","Life support","Oceania"
"20","Samoa","66.6502587904953","66.8829537302792","66.8872578407315","66.80506087094","66.7923239208918","66.7913056836367","Human health and welfare","human health","human health","Oceania"
"21","Samoa",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"22","Samoa","66.6502587904953","66.8829537302792","66.8872578407315","66.80506087094","66.7923239208918","66.7913056836367","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"23","Samoa","79.8139134102384","79.921527123736","79.593403114141","81.7212495685868","81.0386429017915","81.2622870813867","11","SESI layer","SESI layer","Oceania"
