"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Saudi Arabia","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Saudi Arabia","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Saudi Arabia","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Saudi Arabia","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"5","Saudi Arabia","95.9625","95.9625","95.9625","95.9625","95.9625","95.9625","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Saudi Arabia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Saudi Arabia","6.17910205296223","22.5761928041563","23.8649116840606","31.585686350124","31.585686350124","12.4183133098159","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Saudi Arabia","60.5931733333333","60.6178658333333","60.6375858333333","60.6651966666667","60.6766858333333","60.7016333333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Saudi Arabia","84.1635","81.4085","78.2355","75.6705","75.0625","74.8535","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Saudi Arabia","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Saudi Arabia","20.3305058733903","20.3305058733903","20.4440170417007","20.4440170417007","20.4440170417007","20.4440170417007","Source","renewable ressources","renewable ressources","Asia"
"12","Saudi Arabia","95.9625","95.9625","95.9625","95.9625","95.9625","95.9625","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Saudi Arabia","44.1697426965023","44.1697426965023","44.2928773660529","44.2928773660529","44.2928773660529","44.2928773660529","Source","Source","Source","Asia"
"14","Saudi Arabia","5.55837298719789","10.6245453559567","10.9235780960408","12.5669579354202","12.5669579354202","7.87982021045401","Sink","global System","global System","Asia"
"15","Saudi Arabia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Saudi Arabia","5.55837298719789","10.6245453559567","10.9235780960408","12.5669579354202","12.5669579354202","7.87982021045401","Sink","Sink","Sink","Asia"
"17","Saudi Arabia","71.41241869479","70.2481994836374","68.876787428449","67.7537140263543","67.4873597821443","67.4071933158225","Life support","ecosystem health","ecosystem health","Asia"
"18","Saudi Arabia","71.41241869479","70.2481994836374","68.876787428449","67.7537140263543","67.4873597821443","67.4071933158225","Life support","Life support","Life support","Asia"
"19","Saudi Arabia","5","5","5","5","5","5","Human health and welfare","human health","human health","Asia"
"20","Saudi Arabia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Saudi Arabia","5","5","5","5","5","5","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Saudi Arabia","17.2069570875122","20.1493066543657","20.2039099729957","20.8385161846494","20.8180057647064","18.5196004516834","10","SESI","SESI","Asia"
