"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Senegal","32.2759566666667","29.53964","26.8033233333333","24.0670066666667","21.33069","18.59431","Source","renewable ressources","state of forest reccources","Africa"
"2","Senegal","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Senegal","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Senegal","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"5","Senegal","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Senegal","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Senegal","40.0517847235066","45.7034091609642","48.9245422600333","56.1574502188521","58.7343566981074","46.9201439465341","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Senegal","5","5","5","5","5","68.365","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Senegal","68.365","68.365","68.365","68.365","68.365","36.635","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"10","Senegal","80.7575958333333","80.527005","80.4275125","80.2521291666667","80.0049491666667","79.5959008333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"11","Senegal","72.8395","69.7045","68.84","69.0965","68.897","68.6405","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"12","Senegal","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"13","Senegal","16.875","16.875","16.875","16.875","16.875","16.875","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"14","Senegal","66.1381928509598","64.6895072081915","63.1363839377194","61.4593641491353","59.6326033117419","57.6205713092357","Source","renewable ressources","renewable ressources","Africa"
"15","Senegal","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"16","Senegal","81.325391392209","80.4297875219073","79.4584066903681","78.3960229534224","77.2221492265929","75.9082151741402","Source","Source","Source","Africa"
"17","Senegal","63.2864793802804","67.6042965801466","69.9460808480599","74.9382747458547","76.6383433394195","68.4982802313562","Sink","global System","global System","Africa"
"18","Senegal","18.4885099453688","18.4885099453688","18.4885099453688","18.4885099453688","18.4885099453688","50.0454970501842","Sink","critical ecosystems","critical ecosystems","Africa"
"19","Senegal","34.2063254885656","35.3539631395365","35.9610735573749","37.2222653519035","37.6421143538384","58.5493849776497","Sink","Sink","Sink","Africa"
"20","Senegal","76.6964334353435","74.9205887591822","74.4085341913144","74.465705146494","74.2435248539281","73.9155087322709","Life support","ecosystem health","ecosystem health","Africa"
"21","Senegal","76.6964334353435","74.9205887591822","74.4085341913144","74.465705146494","74.2435248539281","73.9155087322709","Life support","Life support","Life support","Africa"
"22","Senegal","5","5","5","5","5","5","Human health and welfare","human health","human health","Africa"
"23","Senegal","16.875","16.875","16.875","16.875","16.875","16.875","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"24","Senegal","9.18558653543692","9.18558653543692","9.18558653543692","9.18558653543692","9.18558653543692","9.18558653543692","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"25","Senegal","37.4156816643008","37.4016511492295","37.3831192150205","37.5872028603716","37.5228089810989","41.6786261762064","13","SESI","SESI","Africa"
