"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Serbia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Serbia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Serbia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe"
"4","Serbia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Serbia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6","Serbia","13.5517606566058","20.0913423351866","16.8215514958962","17.450357426529","20.4686258935663","9.18041804180418","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7","Serbia",NA,NA,NA,NA,NA,"89.1225","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8","Serbia",NA,NA,NA,NA,NA,"89.075","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Serbia","46.8564225","46.8583208333333","46.84975","46.9249466666667","47.0402491666667","47.2038033333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Serbia","35.6216666666667","39.0416666666667","36.825","33.9433333333333","46.99","46.99","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Serbia","76.1541925","76.175596","76.1995265","76.2259935","76.254978","76.286499","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Serbia","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"13","Serbia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"14","Serbia","100","100","100","100","100","100","Source","Source","Source","Europe"
"15","Serbia","8.2315735605672","10.0228095699725","9.17102815825363","9.34086650866208","10.1164781158183","6.77510813264415","Sink","global System","global System","Europe"
"16","Serbia",NA,NA,NA,NA,NA,"89.0987468346216","Sink","critical ecosystems","critical ecosystems","Europe"
"17","Serbia","8.2315735605672","10.0228095699725","9.17102815825363","9.34086650866208","10.1164781158183","24.5693639373844","Sink","Sink","Sink","Europe"
"18","Serbia","46.8564225","46.8583208333333","46.84975","46.9249466666667","47.0402491666667","47.2038033333333","Life support","ecosystem health","ecosystem health","Europe"
"19","Serbia","46.8564225","46.8583208333333","46.84975","46.9249466666667","47.0402491666667","47.2038033333333","Life support","Life support","Life support","Europe"
"20","Serbia","52.0839635636937","54.5345966077193","52.9721395014634","50.866141057043","59.8600151705627","59.872385855334","Human health and welfare","human health","human health","Europe"
"21","Serbia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"22","Serbia","52.0839635636937","54.5345966077193","52.9721395014634","50.866141057043","59.8600151705627","59.872385855334","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"23","Serbia","37.6477481227244","40.0047975001701","38.8412505930967","38.6415853683983","41.0826969197637","51.3333216885306","11","SESI","SESI","Europe"
