"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Singapore","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Singapore","74.426","74.426","70.1985","70.1985","70.1985","70.1985","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Singapore","80.468","80.962","78.7453333333333","76.4146666666667","77.4153333333333","78.6186666666667","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Singapore",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"5","Singapore","26.6125","26.6125","26.6125","26.6125","26.6125","26.6125","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Singapore","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Singapore","63.8610567716694","55.8635239830495","70.5003329186904","54.5444949700889","71.9223344568264","48.7741965493305","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Singapore","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","Singapore","11.2928616666667","11.1534191666667","11.0161583333333","10.8801441666667","10.7317908333333","10.56189","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"10","Singapore","76.4115","79.575","76.269","75.87","74.293","74.3215","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"11","Singapore","64.66","66.8133333333333","70.7716666666667","74.2866666666667","73.6216666666667","73.6216666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"12","Singapore","100","100","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Asia"
"13","Singapore","84.2912760754953","84.4634147704696","82.0699595404827","81.2521481555913","81.6052826671394","82.0259310810532","Source","renewable ressources","renewable ressources","Asia"
"14","Singapore","26.6125","26.6125","26.6125","26.6125","26.6125","26.6125","Source","non-renewable ressources","non-renewable ressources","Asia"
"15","Singapore","47.3624490979839","47.4107859624698","46.7342144287362","46.5007827115918","46.6017229829461","46.7216768844455","Source","Source","Source","Asia"
"16","Singapore","17.86911536306","16.712798087551","18.7750276855575","16.5143112133218","18.9634298660377","15.6163690641151","Sink","global System","global System","Asia"
"17","Singapore","100","100","100","100","100","100","Sink","critical ecosystems","critical ecosystems","Asia"
"18","Singapore","42.271876422818","40.8812892256971","43.3301600338119","40.6378040909223","43.5470204101701","39.5175518777607","Sink","Sink","Sink","Asia"
"19","Singapore","29.3752361563699","29.7914976157209","28.9860549217205","28.7311074956223","28.236446950366","28.0174143638381","Life support","ecosystem health","ecosystem health","Asia"
"20","Singapore","29.3752361563699","29.7914976157209","28.9860549217205","28.7311074956223","28.236446950366","28.0174143638381","Life support","Life support","Life support","Asia"
"21","Singapore","80.4114419718985","81.7394233728947","84.1258977168545","86.1897132299828","85.8030690981778","85.8030690981778","Human health and welfare","human health","human health","Asia"
"22","Singapore",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"23","Singapore","80.4114419718985","81.7394233728947","84.1258977168545","86.1897132299828","85.8030690981778","85.8030690981778","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"24","Singapore","46.633307982213","46.6102476985023","47.1396133029852","46.5103464513777","47.0888758023432","45.8996984497046","12","SESI layer","SESI layer","Asia"
