"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Sint Maarten",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","Sint Maarten","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Sint Maarten","93.768","93.6445","93.2645","93.407","93.293","93.1695","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"4","Sint Maarten","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","renewable ressources","America"
"5","Sint Maarten",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"6","Sint Maarten","62.323","62.323","63.33","63.33","63.33","63.33","Source","Source","Source","America"
"7","Sint Maarten",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"8","Sint Maarten",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"9","Sint Maarten",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"10","Sint Maarten","93.768","93.6445","93.2645","93.407","93.293","93.1695","Life support","ecosystem health","ecosystem health","America"
"11","Sint Maarten","93.768","93.6445","93.2645","93.407","93.293","93.1695","Life support","Life support","Life support","America"
"12","Sint Maarten",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"13","Sint Maarten",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"14","Sint Maarten",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"15","Sint Maarten","76.4454253961609","76.3950664212029","76.8533719819762","76.9120621879299","76.8651136081903","76.8142202655211","3","SESI","SESI","America"
