"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Slovenia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Slovenia","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Slovenia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Slovenia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Slovenia","98.93125","98.93125","98.93125","98.93125","98.93125","98.93125","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Slovenia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Slovenia","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Slovenia","47.5125","47.5125","47.5125","47.5125","47.5125","60.48","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Slovenia","90.975","90.975","90.975","90.975","90.975","79.67","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Slovenia","76.2891883333333","76.2795691666667","76.3484475","76.2089766666667","76.2186808333333","76.4032725","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Slovenia","73.001","71.0535","71.348","71.7755","71.9085","71.557","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Slovenia","60.2583333333333","62.8233333333333","61.7466666666667","59.5616666666667","71.2466666666667","71.2466666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Slovenia","96.1295385","97.2812235","98.4329085","99.525","99.525","99.525","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Slovenia","64.375","64.375","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","Slovenia","74.2581681468864","74.2581681468864","74.0624017101842","74.0624017101842","74.0624017101842","74.0624017101842","Source","renewable ressources","renewable ressources","Europe"
"16","Slovenia","98.93125","98.93125","98.93125","98.93125","98.93125","98.93125","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","Slovenia","85.7114542956871","85.7114542956871","85.5983993961958","85.5983993961958","85.5983993961958","85.5983993961958","Source","Source","Source","Europe"
"18","Slovenia","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"19","Slovenia","65.7453396637359","65.7453396637359","65.7453396637359","65.7453396637359","65.7453396637359","69.414995498091","Sink","critical ecosystems","critical ecosystems","Europe"
"20","Slovenia","38.3420198596692","38.3420198596692","38.3420198596692","38.3420198596692","38.3420198596692","39.3975441609719","Sink","Sink","Sink","Europe"
"21","Slovenia","74.6269859871191","73.6201763634382","73.8058875173925","73.9590251743378","74.0322295402735","73.9404420481951","Life support","ecosystem health","ecosystem health","Europe"
"22","Slovenia","74.6269859871191","73.6201763634382","73.8058875173925","73.9590251743378","74.0322295402735","73.9404420481951","Life support","Life support","Life support","Europe"
"23","Slovenia","76.1091701052672","78.1762798489094","77.9609132205364","76.992693646865","84.2070335542109","84.2070335542109","Human health and welfare","human health","human health","Europe"
"24","Slovenia","64.375","64.375","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","Slovenia","69.9966272439364","70.9408064182635","56.2775452519412","55.9269897223504","58.4885521973302","58.4885521973302","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","Slovenia","64.3682522190661","64.3652864802607","60.7633481528581","60.6999472253849","61.3985454764826","61.7976452796643","14","SESI","SESI","Europe"
