"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Solomon Islands","95.6289866666666","95.44722","95.2655166666666","95.0838133333333","94.9020466666667","94.7203433333333","Source","renewable ressources","state of forest reccources","Oceania"
"2","Solomon Islands","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Solomon Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Solomon Islands","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Solomon Islands","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"6","Solomon Islands","96.5343915343915","93.8888888888889","88.0687830687831","89.6560846560847","96.005291005291","94.4635275955229","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"7","Solomon Islands","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"8","Solomon Islands","83.318","83.09","82.9095","82.843","82.767","82.596","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"9","Solomon Islands","90.9433333333333","91.26","91.1333333333333","90.6583333333333","91.0383333333333","91.0383333333333","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"10","Solomon Islands","5","5","5","5","5","5","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania"
"11","Solomon Islands","89.3479713952141","89.2630169890644","86.5723764254992","86.4897757221434","86.407067224755","86.3243083429671","Source","renewable ressources","renewable ressources","Oceania"
"12","Solomon Islands","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"13","Solomon Islands","94.5240558774401","94.4791072084534","93.044277860328","92.999879420429","92.9554017928786","92.910875758959","Source","Source","Source","Oceania"
"14","Solomon Islands","98.2519167926975","96.8962790249909","93.844969534218","94.686897011194","97.9822897289561","97.1923492850764","Sink","global System","global System","Oceania"
"15","Solomon Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"16","Solomon Islands","98.2519167926975","96.8962790249909","93.844969534218","94.686897011194","97.9822897289561","97.1923492850764","Sink","Sink","Sink","Oceania"
"17","Solomon Islands","91.2786941186167","91.1537163257758","91.054653917304","91.0181300620926","90.9763705585137","90.8823415191312","Life support","ecosystem health","ecosystem health","Oceania"
"18","Solomon Islands","91.2786941186167","91.1537163257758","91.054653917304","91.0181300620926","90.9763705585137","90.8823415191312","Life support","Life support","Life support","Oceania"
"19","Solomon Islands","90.9433333333333","91.26","91.1333333333333","90.6583333333333","91.0383333333333","91.0383333333333","Human health and welfare","human health","human health","Oceania"
"20","Solomon Islands","5","5","5","5","5","5","Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"21","Solomon Islands","21.3240865376847","21.3611797427015","21.3463501954471","21.2906473989559","21.3352212706282","21.3352212706282","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"22","Solomon Islands","65.2049863954082","64.9771447628222","64.1847141359888","64.2720661805272","64.8428348956008","64.6872700265993","10","SESI","SESI","Oceania"
