"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Somalia","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Somalia","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Somalia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Somalia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Africa"
"5","Somalia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Somalia","95.52083075","97.07348225","98.7365855","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Somalia","62.7793659203765","63.879702305408","63.9967593676454","64.3245191419101","69.5218527052503","65.8381576925048","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Somalia","64.9421275","64.8743541666667","64.8603291666667","64.9210191666667","64.9217841666667","65.0087958333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Somalia","77.618","79.613","72.773","79.4325","77.4375","78.0645","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Somalia","70.8033333333333","70.2333333333333","69.9166666666667","70.075","70.6133333333333","70.6133333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Somalia","42.993785363465","42.993785363465","43.233832258367","43.233832258367","43.233832258367","43.233832258367","Source","renewable ressources","renewable ressources","Africa"
"12","Somalia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Somalia","65.5696464558602","65.5696464558602","65.7524389345118","65.7524389345118","65.7524389345118","65.7524389345118","Source","Source","Source","Africa"
"14","Somalia","77.4386026906","78.7465881665949","79.4910152345939","80.2025680024712","83.3797653542215","81.1407158536975","Sink","global System","global System","Africa"
"15","Somalia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"16","Somalia","77.4386026906","78.7465881665949","79.4910152345939","80.2025680024712","83.3797653542215","81.1407158536975","Sink","Sink","Sink","Africa"
"17","Somalia","70.9977327264399","71.8668348981005","68.7028437144041","71.8111332242867","70.9040242962715","71.2381859842827","Life support","ecosystem health","ecosystem health","Africa"
"18","Somalia","70.9977327264399","71.8668348981005","68.7028437144041","71.8111332242867","70.9040242962715","71.2381859842827","Life support","Life support","Life support","Africa"
"19","Somalia","70.8033333333333","70.2333333333333","69.9166666666667","70.075","70.6133333333333","70.6133333333333","Human health and welfare","human health","human health","Africa"
"20","Somalia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Somalia","70.8033333333333","70.2333333333333","69.9166666666667","70.075","70.6133333333333","70.6133333333333","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Somalia","71.0787257596605","71.4498953291592","70.7858309619397","71.773439173811","72.3823257215721","71.9759766599249","10","SESI","SESI","Africa"
