"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"3","South Georgia and the South Sandwich Islands","74.312","77.314","78.226","78.929","76.8865","71.3575","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"4","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","renewable ressources","America"
"5","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"6","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Source","Source","Source","America"
"7","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"8","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"9","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"10","South Georgia and the South Sandwich Islands","74.312","77.314","78.226","78.929","76.8865","71.3575","Life support","ecosystem health","ecosystem health","America"
"11","South Georgia and the South Sandwich Islands","74.312","77.314","78.226","78.929","76.8865","71.3575","Life support","Life support","Life support","America"
"12","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"13","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"14","South Georgia and the South Sandwich Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"15","South Georgia and the South Sandwich Islands","74.312","77.314","78.226","78.929","76.8865","71.3575","3","SESI layer","SESI layer","America"
