"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","South Sudan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Africa"
"2","South Sudan","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"3","South Sudan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"4","South Sudan","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","South Sudan","13.7297297297297","62.7702702702703","63.2837837837838","64.0540540540541","64.5675675675676","89.1277777777778","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"6","South Sudan","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"7","South Sudan","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"8","South Sudan","49.8078208333333","49.6683216666667","49.5620291666667","49.430945","49.3018725","49.2001841666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","South Sudan","45.9766666666667","44.995","47.3066666666667","46.3566666666667","51.93","51.93","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","South Sudan","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Africa"
"11","South Sudan","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"12","South Sudan","100","100","100","100","100","100","Source","Source","Source","Africa"
"13","South Sudan","13.7297297297297","62.7702702702703","63.2837837837838","64.0540540540541","64.5675675675676","89.1277777777778","Sink","global System","global System","Africa"
"14","South Sudan","100","100","100","100","100",NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"15","South Sudan","37.0536499278137","79.2276910368277","79.5511054503857","80.0337766533944","80.3539467403858","89.1277777777778","Sink","Sink","Sink","Africa"
"16","South Sudan","49.8078208333333","49.6683216666667","49.5620291666667","49.430945","49.3018725","49.2001841666667","Life support","ecosystem health","ecosystem health","Africa"
"17","South Sudan","49.8078208333333","49.6683216666667","49.5620291666667","49.430945","49.3018725","49.2001841666667","Life support","Life support","Life support","Africa"
"18","South Sudan","45.9766666666667","44.995","47.3066666666667","46.3566666666667","51.93","51.93","Human health and welfare","human health","human health","Africa"
"19","South Sudan",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"20","South Sudan","45.9766666666667","44.995","47.3066666666667","46.3566666666667","51.93","51.93","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"21","South Sudan","53.9717505169068","64.867951769545","65.7172545016424","65.4404242235329","67.3476176171356","69.079555176444","9","SESI","SESI","Africa"
