"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Spain","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Spain","58.3425","58.3425","60.0841635","60.0841635","60.0841635","60.0841635","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Spain","27.7493333333333","27.2426666666667","25.3046666666667","24.114","23.7846666666667","28.1166666666667","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Spain","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Spain","97.98125","97.98125","97.98125","97.98125","97.98125","97.98125","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Spain","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Spain","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Spain","62.0875441666667","62.0516458333333","61.9861391666667","61.959945","61.9192441666667","61.81502","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"9","Spain","71.633","69.1345","71.139","70.892","70.645","70.3885","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"10","Spain","80.6516666666667","84.04","83.5016666666667","83.9133333333333","86.2566666666667","86.2566666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Spain","99.595357","99.597846","99.6003445","99.602862","99.605408","99.6079635","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Spain","43","43","38.25","38.25","38.25","38.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Spain","63.4321449382027","63.1405939444466","62.4439201946355","61.6960441904147","61.4843055485569","64.1107655521112","Source","renewable ressources","renewable ressources","Europe"
"14","Spain","97.98125","97.98125","97.98125","97.98125","97.98125","97.98125","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Spain","78.8362914603818","78.6549065247637","78.2197759877298","77.749955175756","77.6164229595099","79.2568794947971","Source","Source","Source","Europe"
"16","Spain","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Spain",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"18","Spain","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","Sink","Sink","Europe"
"19","Spain","66.6897072365057","65.4974007794552","66.4050597031394","66.2756699018576","66.1383776952094","65.9626146788467","Life support","ecosystem health","ecosystem health","Europe"
"20","Spain","66.6897072365057","65.4974007794552","66.4050597031394","66.2756699018576","66.1383776952094","65.9626146788467","Life support","Life support","Life support","Europe"
"21","Spain","89.6243914027408","91.4888134027325","91.1964624660637","91.4221426130453","92.6910485217064","92.6922375658555","Human health and welfare","human health","human health","Europe"
"22","Spain","43","43","38.25","38.25","38.25","38.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Spain","62.07937524104","62.7217583962495","59.0615330763343","59.1345664983602","59.5435353834089","59.5439172955053","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Spain","51.9761771869986","51.8457639342399","51.1772404435089","51.0910905964335","51.1306949220019","51.3646471545065","12","SESI layer","SESI layer","Europe"
