"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Sri Lanka","44.8347033333333","43.9765366666667","43.1183066666667","42.2600766666667","41.4018466666666","40.5436166666667","Source","renewable ressources","state of forest reccources","Asia"
"2","Sri Lanka","74.426","74.426","70.1985","70.1985","70.1985","70.1985","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Sri Lanka","88.334","88.334","88.334","88.334","88.334","88.334","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Sri Lanka",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"5","Sri Lanka","78.8625","78.8625","78.8625","78.8625","78.8625","78.8625","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Sri Lanka","98.889609125","99.384920125","100","100","99.17925225","99.581085625","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Sri Lanka","21.7471625211302","5","31.4589873621509","25.3413024229252","24.806004990743","5","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Sri Lanka","55.4379941666667","54.97439","54.4912783333333","54.0447591666667","53.56832","53.0770908333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Sri Lanka","88.7995","87.403","84.4485","87.9635","84.0875","82.4345","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Sri Lanka","42.7466666666667","35.21","43.0316666666667","42.62","40.2133333333333","40.2133333333333","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Sri Lanka","40.625","40.625","40.625","40.625","40.625","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","Sri Lanka","66.5511593248669","66.1238095665519","64.4227325741599","63.9924399988694","63.5562815955386","63.1140532709999","Source","renewable ressources","renewable ressources","Asia"
"13","Sri Lanka","78.8625","78.8625","78.8625","78.8625","78.8625","78.8625","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Sri Lanka","72.4457783604905","72.2128031026507","71.2778910155855","71.0394524149141","70.7969438417236","70.5502092561335","Source","Source","Source","Asia"
"15","Sri Lanka","46.3742213011972","22.2918056833672","56.0883119394325","50.3401454337641","49.6008167905697","22.3137945702877","Sink","global System","global System","Asia"
"16","Sri Lanka",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Sri Lanka","46.3742213011972","22.2918056833672","56.0883119394325","50.3401454337641","49.6008167905697","22.3137945702877","Sink","Sink","Sink","Asia"
"18","Sri Lanka","70.1631396318816","69.3175779234243","67.8358807588764","68.9490113994181","67.1150214780566","66.1466812795655","Life support","ecosystem health","ecosystem health","Asia"
"19","Sri Lanka","70.1631396318816","69.3175779234243","67.8358807588764","68.9490113994181","67.1150214780566","66.1466812795655","Life support","Life support","Life support","Asia"
"20","Sri Lanka","42.7466666666667","35.21","43.0316666666667","42.62","40.2133333333333","40.2133333333333","Human health and welfare","human health","human health","Asia"
"21","Sri Lanka","40.625","40.625","40.625","40.625","40.625","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Sri Lanka","41.6723329480524","37.8207119182069","41.8110207760267","41.6105455383608","40.4186425633849","34.0019607277776","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Sri Lanka","55.983704840707","45.3245115728058","58.028903235979","56.5960838157823","55.5553897859813","43.378141333494","11","SESI","SESI","Asia"
