"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Sudan","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Sudan","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Sudan","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Sudan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Sudan","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Sudan","66.6513995","66.635403875","69.44029075","70.919234125","71.74734675","74.649599125","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Sudan","6.22822262727311","15.7318468907634","26.7254461447162","26.6851765503794","39.3902335636472","71.0891379613872","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Sudan","85.75","85.75","85.75","85.75","85.75",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Sudan","90.5","90.5","90.5","90.5","90.5",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"10","Sudan","61.0852383333333","60.9930558333333","60.9011141666667","60.8365","60.7623658333333","60.6845766666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"11","Sudan","87.403","87.403","84.04","86.453","87.0705","84.7525","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"12","Sudan","44.425","44.8683333333333","43.855","46.515","47.9716666666667","47.9716666666667","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"13","Sudan",NA,NA,"52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"14","Sudan","11.9544861572375","11.9544861572375","12.0435627308238","12.0435627308238","12.0435627308238","12.0435627308238","Source","renewable ressources","renewable ressources","Africa"
"15","Sudan","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"16","Sudan","34.575260168562","34.575260168562","34.7038365758367","34.7038365758367","34.7038365758367","34.7038365758367","Source","Source","Source","Africa"
"17","Sudan","20.3744878341842","32.3774299669644","43.0792612600606","43.5027847780268","53.1614968379793","72.8476193911604","Sink","global System","global System","Africa"
"18","Sudan","88.0929906405725","88.0929906405725","88.0929906405725","88.0929906405725","88.0929906405725",NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"19","Sudan","42.3656649432444","53.4062228120056","61.603416780121","61.9054958165231","68.4335827162873","72.8476193911604","Sink","Sink","Sink","Africa"
"20","Sudan","73.0686874526177","73.0135333962193","71.5411045103909","72.5223960890703","72.7365765917757","71.7158949183629","Life support","ecosystem health","ecosystem health","Africa"
"21","Sudan","73.0686874526177","73.0135333962193","71.5411045103909","72.5223960890703","72.7365765917757","71.7158949183629","Life support","Life support","Life support","Africa"
"22","Sudan","44.425","44.8683333333333","43.855","46.515","47.9716666666667","47.9716666666667","Human health and welfare","human health","human health","Africa"
"23","Sudan",NA,NA,"52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"24","Sudan","44.425","44.8683333333333","47.9832001850648","49.4169758281504","50.1847835503951","50.1847835503951","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"25","Sudan","46.6965243125118","49.5935453086985","52.0483282748743","52.6761167023273","54.2616405031073","54.9218405232705","13","SESI layer","SESI layer","Africa"
