"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Sweden","97.9018933333333","97.9018933333333","97.9018933333333","97.9018933333333","97.9018933333333","97.9018933333333","Source","renewable ressources","state of forest reccources","Europe"
"2","Sweden","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Sweden","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Sweden","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Sweden","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Sweden","5","5","5","5","5","6.980101625","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Sweden","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Sweden","43.3325","43.3325","43.3325","43.3325","43.3325","46.61","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Sweden","97.815","97.815","97.815","97.815","97.815","97.72","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Sweden","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Sweden","75.4235","74.8345","73.514","72.602","72.1365","72.5165","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Sweden","95.6616666666667","97.2133333333333","97.055","96.5483333333333","96.96","96.96","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Sweden","99.7300955","99.748421","99.766319","99.7635735","99.7638965","99.76421","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Sweden","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","Sweden","92.5056143458584","92.5056143458584","94.1752562925964","94.1752562925964","94.1752562925964","94.1752562925964","Source","renewable ressources","renewable ressources","Europe"
"16","Sweden","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","Sweden","96.1798390234972","96.1798390234972","97.0439365919357","97.0439365919357","97.0439365919357","97.0439365919357","Source","Source","Source","Europe"
"18","Sweden","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","26.4198819546946","Sink","global System","global System","Europe"
"19","Sweden","65.1042893172178","65.1042893172178","65.1042893172178","65.1042893172178","65.1042893172178","67.4887338746253","Sink","critical ecosystems","critical ecosystems","Europe"
"20","Sweden","38.1546349137444","38.1546349137444","38.1546349137444","38.1546349137444","38.1546349137444","42.2261101954632","Sink","Sink","Sink","Europe"
"21","Sweden","86.8467040249657","86.5069361380924","85.7403055744496","85.2068072397975","84.933209052761","85.1566204120384","Life support","ecosystem health","ecosystem health","Europe"
"22","Sweden","86.8467040249657","86.5069361380924","85.7403055744496","85.2068072397975","84.933209052761","85.1566204120384","Life support","Life support","Life support","Europe"
"23","Sweden","97.6747006770732","98.4727195732232","98.4013215894228","98.1427875536583","98.3519567911081","98.3521113225334","Human health and welfare","human health","human health","Europe"
"24","Sweden","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","Sweden","86.3000343373445","86.651860150018","86.6204408392932","86.50657518921","86.5987107601608","86.598778792447","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","Sweden","72.4183981729127","72.4210875322363","72.4152911439723","72.2786079444063","72.23973878392","74.1429593976372","14","SESI","SESI","Europe"
