"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Switzerland","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Switzerland","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Switzerland","16.9066666666667","16.4","16.4","16.4","16.4","16.4","Source","renewable ressources","Groundwater stress","Europe"
"4","Switzerland","56.5375","56.5375","56.5375","56.5375","56.5375","56.5375","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Switzerland","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"6","Switzerland","100","100","100","100","100","69.79","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"7","Switzerland","53.5515608333333","53.3208283333333","53.0913991666667","52.8492625","52.6056666666667","52.5054091666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"8","Switzerland","81.57","84.1983333333333","84.515","84.135","87.4283333333333","87.4283333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"9","Switzerland","98.29","98.29","98.29","98.29","98.29","98.29","Human health and welfare","human health","Drinking water contamination","Europe"
"10","Switzerland","76.25","76.25","68.3333365","68.3333365","68.3333365","68.3333365","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"11","Switzerland","55.2950171019181","54.7370367479843","54.7370367479843","54.7370367479843","54.7370367479843","54.7370367479843","Source","renewable ressources","renewable ressources","Europe"
"12","Switzerland","56.5375","56.5375","56.5375","56.5375","56.5375","56.5375","Source","non-renewable ressources","non-renewable ressources","Europe"
"13","Switzerland","55.9128073825639","55.6299848565426","55.6299848565426","55.6299848565426","55.6299848565426","55.6299848565426","Source","Source","Source","Europe"
"14","Switzerland","100","100","100","100","100","100","Sink","global System","global System","Europe"
"15","Switzerland","100","100","100","100","100","69.79","Sink","critical ecosystems","critical ecosystems","Europe"
"16","Switzerland","100","100","100","100","100","83.5404093837228","Sink","Sink","Sink","Europe"
"17","Switzerland","53.5515608333333","53.3208283333333","53.0913991666667","52.8492625","52.6056666666667","52.5054091666667","Life support","ecosystem health","ecosystem health","Europe"
"18","Switzerland","53.5515608333333","53.3208283333333","53.0913991666667","52.8492625","52.6056666666667","52.5054091666667","Life support","Life support","Life support","Europe"
"19","Switzerland","89.5405790689339","90.9717218883612","91.1426319018713","90.9375013402062","92.7002205139412","92.7002205139412","Human health and welfare","human health","human health","Europe"
"20","Switzerland","76.25","76.25","68.3333365","68.3333365","68.3333365","68.3333365","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"21","Switzerland","82.6285008577925","83.2862161103957","78.9181863403247","78.8293275345509","79.5896686888653","79.5896686888653","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"22","Switzerland","70.5266615205849","70.5009128315338","69.48283854411","69.3839345434639","69.4703587851866","66.384482068059","10","SESI layer","SESI layer","Europe"
