"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Taiwan","83.5555","83.5555","67.111","67.111","67.111","67.111","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"2","Taiwan","62.11875","62.11875","62.11875","62.11875","62.11875","62.11875","Source","non-renewables ressources","area with tolerable erosion","Asia"
"3","Taiwan",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"4","Taiwan","79.1475","77.2475","77.048","77.1905","77.1525","76.3545","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"5","Taiwan","83.5555","83.5555","67.111","67.111","67.111","67.111","Source","renewable ressources","renewable ressources","Asia"
"6","Taiwan","62.11875","62.11875","62.11875","62.11875","62.11875","62.11875","Source","non-renewable ressources","non-renewable ressources","Asia"
"7","Taiwan","72.0441754455209","72.0441754455209","64.5666433326838","64.5666433326838","64.5666433326838","64.5666433326838","Source","Source","Source","Asia"
"8","Taiwan",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Asia"
"9","Taiwan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"10","Taiwan",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Asia"
"11","Taiwan","79.1475","77.2475","77.048","77.1905","77.1525","76.3545","Life support","ecosystem health","ecosystem health","Asia"
"12","Taiwan","79.1475","77.2475","77.048","77.1905","77.1525","76.3545","Life support","Life support","Life support","Asia"
"13","Taiwan",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Asia"
"14","Taiwan",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"15","Taiwan",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"16","Taiwan","75.5123590948817","74.6004855394915","70.5317711070452","70.5969651059557","70.579585927695","70.2136295055697","4","SESI layer","SESI layer","Asia"
