"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Tajikistan","60.404","46.4453333333333","40.0866666666667","55.008","61.924","61.924","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Tajikistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"4","Tajikistan","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Tajikistan","100","100","97.796287375","95.243314375","93.548379","95.13053275","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Tajikistan","17.1212121212121","25.2020202020202","45.4040404040404","66.6161616161616","84.2929292929293","16.7283950617284","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Tajikistan","72.73242","72.8673433333333","73.0393975","73.2201216666667","73.365755","73.2939866666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Tajikistan","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Tajikistan","70.6508045","71.7057605","72.761581","73.817278","74.8723385","74.8994325","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Tajikistan","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"11","Tajikistan","60.404","46.4453333333333","40.0866666666667","55.008","61.924","61.924","Source","renewable ressources","renewable ressources","Asia"
"12","Tajikistan","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Tajikistan","17.3787226227937","15.2389850930653","14.157447980951","16.5843299533023","17.5960222777763","17.5960222777763","Source","Source","Source","Asia"
"14","Tajikistan","41.3777864574848","50.2016137210949","66.6359256207914","79.6539014943015","88.8001514442129","39.8921186987441","Sink","global System","global System","Asia"
"15","Tajikistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Tajikistan","41.3777864574848","50.2016137210949","66.6359256207914","79.6539014943015","88.8001514442129","39.8921186987441","Sink","Sink","Sink","Asia"
"17","Tajikistan","72.73242","72.8673433333333","73.0393975","73.2201216666667","73.365755","73.2939866666667","Life support","ecosystem health","ecosystem health","Asia"
"18","Tajikistan","72.73242","72.8673433333333","73.0393975","73.2201216666667","73.365755","73.2939866666667","Life support","Life support","Life support","Asia"
"19","Tajikistan","18.7950531390576","18.9348568122392","19.0737491070843","19.211621222583","19.3484286829706","19.3519291673983","Human health and welfare","human health","human health","Asia"
"20","Tajikistan","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Tajikistan","31.4124225395069","31.5290339630404","31.6444596749878","31.7586226745684","31.8714998996903","31.874382837765","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Tajikistan","35.8016995442052","36.4107253326026","38.4270520812751","41.8648242139007","43.7200878310578","35.7851575653513","10","SESI layer","SESI layer","Asia"
