"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Thailand","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Thailand","78.95275","78.95275","74.4355","74.4355","74.4355","74.4355","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Thailand","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Thailand","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Thailand","35.1625","35.1625","35.1625","35.1625","35.1625","35.1625","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Thailand","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Thailand","12.0125897872802","33.1075580870267","54.2151101531125","59.6753207656228","58.8196246545485","44.2516728345042","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Thailand",NA,NA,NA,NA,NA,"39.2","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","Thailand","54.3701675","54.24033","54.1174058333333","53.9982216666667","53.8811766666667","53.7439441666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"10","Thailand","88.999","82.672","79.575","78.682","78.5205","79.195","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"11","Thailand","39.5166666666667","32.17","41.29","40.8466666666667","37.8066666666667","37.8066666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"12","Thailand","28.75","28.75","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"13","Thailand","94.2631211004041","94.2631211004041","92.8848806699593","92.8848806699593","92.8848806699593","92.8848806699593","Source","renewable ressources","renewable ressources","Asia"
"14","Thailand","35.1625","35.1625","35.1625","35.1625","35.1625","35.1625","Source","non-renewable ressources","non-renewable ressources","Asia"
"15","Thailand","57.5719288863328","57.5719288863328","57.149493580936","57.149493580936","57.149493580936","57.149493580936","Source","Source","Source","Asia"
"16","Thailand","7.75002896358465","12.8661490134047","16.4643721643299","17.2735810944955","17.1492892935172","14.8747559365699","Sink","global System","global System","Asia"
"17","Thailand",NA,NA,NA,NA,NA,"39.2","Sink","critical ecosystems","critical ecosystems","Asia"
"18","Thailand","7.75002896358465","12.8661490134047","16.4643721643299","17.2735810944955","17.1492892935172","24.1472655328412","Sink","Sink","Sink","Asia"
"19","Thailand","69.5621343644119","66.9638451835018","65.623110023737","65.1819612866679","65.0444227621016","65.2399544625774","Life support","ecosystem health","ecosystem health","Asia"
"20","Thailand","69.5621343644119","66.9638451835018","65.623110023737","65.1819612866679","65.0444227621016","65.2399544625774","Life support","Life support","Life support","Asia"
"21","Thailand","39.5166666666667","32.17","41.29","40.8466666666667","37.8066666666667","37.8066666666667","Human health and welfare","human health","human health","Asia"
"22","Thailand","28.75","28.75","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"23","Thailand","33.7061443459003","30.411963106646","40.9561503317878","40.7356825563698","39.1905069287619","39.1905069287619","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"24","Thailand","31.9815140690342","35.0458057123339","39.8780004998613","40.2368799983497","39.7568863654614","43.3404801753463","12","SESI","SESI","Asia"
