"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Timor-Leste","77.8725366666667","76.95053","76.2261233333333","75.10658","74.1845733333333","73.26263","Source","renewable ressources","state of forest reccources","Oceania"
"2","Timor-Leste","74.426","74.426","70.1985","70.1985","70.1985","70.1985","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Timor-Leste","9.142","9.142","9.142","9.142","9.142","9.142","Source","renewable ressources","Surfacewater Stress","Oceania"
"4","Timor-Leste",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"5","Timor-Leste","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"6","Timor-Leste","74.002620625","85.940600875","91.355491625","92.349481375","95.15170825","99.40914275","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"7","Timor-Leste","22.1686746987952","83.2128514056225","43.1526104417671","66.0441767068273","43.1526104417671","46.4429530201342","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"8","Timor-Leste","66.9373183333333","66.673705","66.3427291666667","65.99498","65.7807516666667","65.55366","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"9","Timor-Leste","87.4885","87.612","87.5455","87.441","87.327","87.213","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"10","Timor-Leste","54.305","48.7","54.115","53.5766666666667","51.0116666666667","51.0116666666667","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"11","Timor-Leste","37.5592350954448","37.4104130814653","36.57275085675","36.3928174199831","36.2432847209795","36.092518249195","Source","renewable ressources","renewable ressources","Oceania"
"12","Timor-Leste","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Oceania"
"13","Timor-Leste","13.7038744695514","13.676697898518","13.5227125342422","13.4894064769328","13.461664964071","13.4336365607372","Source","Source","Source","Oceania"
"14","Timor-Leste","40.503580378702","84.5657285803255","62.7871638299561","78.0970259786783","64.0784253784449","67.9474366441447","Sink","global System","global System","Oceania"
"15","Timor-Leste",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"16","Timor-Leste","40.503580378702","84.5657285803255","62.7871638299561","78.0970259786783","64.0784253784449","67.9474366441447","Sink","Sink","Sink","Oceania"
"17","Timor-Leste","76.5261104134127","76.4291609430589","76.2102840583895","75.9649066752537","75.7920556575358","75.611714367418","Life support","ecosystem health","ecosystem health","Oceania"
"18","Timor-Leste","76.5261104134127","76.4291609430589","76.2102840583895","75.9649066752537","75.7920556575358","75.611714367418","Life support","Life support","Life support","Oceania"
"19","Timor-Leste","54.305","48.7","54.115","53.5766666666667","51.0116666666667","51.0116666666667","Human health and welfare","human health","human health","Oceania"
"20","Timor-Leste",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"21","Timor-Leste","54.305","48.7","54.115","53.5766666666667","51.0116666666667","51.0116666666667","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"22","Timor-Leste","38.9714496816101","45.5502668410289","43.2580044765212","45.5044646097425","42.7342367837454","43.3167951734826","10","SESI layer","SESI layer","Oceania"
