"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Tokelau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Oceania"
"2","Tokelau","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Tokelau",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Tokelau","88.106","87.935","87.764","87.593","87.422","87.251","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"5","Tokelau","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","renewable ressources","Oceania"
"6","Tokelau",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"7","Tokelau","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","Source","Source","Oceania"
"8","Tokelau",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"9","Tokelau",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"10","Tokelau",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"11","Tokelau","88.106","87.935","87.764","87.593","87.422","87.251","Life support","ecosystem health","ecosystem health","Oceania"
"12","Tokelau","88.106","87.935","87.764","87.593","87.422","87.251","Life support","Life support","Life support","Oceania"
"13","Tokelau",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Oceania"
"14","Tokelau",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"15","Tokelau",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"16","Tokelau","85.7615579790852","85.6782926563082","83.0940027318458","83.0130127901644","82.9319437551056","82.8507953944921","4","SESI layer","SESI layer","Oceania"
