"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Tunisia","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Tunisia","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Tunisia","89.892","93.1726666666667","86.738","94.9333333333333","95.326","97.606","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Tunisia","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Africa"
"5","Tunisia","90.85625","90.85625","90.85625","90.85625","90.85625","90.85625","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Tunisia","56.470864625","59.416923875","60.219460125","60.703646625","61.753038","67.493667125","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Tunisia","7.68497811681096","33.9091333159548","26.1409442012979","32.8664233676787","34.3001495465584","16.7562206996033","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Tunisia",NA,NA,NA,NA,NA,"83.85","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Tunisia",NA,NA,NA,NA,NA,"86.7","Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa"
"10","Tunisia","60.4240091666667","60.3947408333333","60.3662091666667","60.3386408333333","60.3120925","60.2662208333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"11","Tunisia","70.113","69.2295","69.372","70.3315","70.132","69.79","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"12","Tunisia","33.0883333333333","28.4966666666667","33.0883333333333","29.6366666666667","31.8533333333333","31.8533333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"13","Tunisia","79.3099595","79.5873215","79.8263035","80.0449175","80.261147","80.4747355","Human health and welfare","human health","Drinking water contamination","Africa"
"14","Tunisia","28.75","28.75","52.5","52.5","52.5","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"15","Tunisia","36.8324777792907","37.1640303530815","36.4328541811599","37.2645196256378","37.3029937117252","37.5240731057973","Source","renewable ressources","renewable ressources","Africa"
"16","Tunisia","90.85625","90.85625","90.85625","90.85625","90.85625","90.85625","Source","non-renewable ressources","non-renewable ressources","Africa"
"17","Tunisia","57.8486024829873","58.1083852190642","57.5339248417576","58.1868929505336","58.2169229899772","58.3891819356856","Source","Source","Source","Africa"
"18","Tunisia","20.8321232446556","44.8862606250656","39.6761080117482","44.6666738177269","46.0232380255269","33.6294332716455","Sink","global System","global System","Africa"
"19","Tunisia",NA,NA,NA,NA,NA,"85.2630928362325","Sink","critical ecosystems","critical ecosystems","Africa"
"20","Tunisia","20.8321232446556","44.8862606250656","39.6761080117482","44.6666738177269","46.0232380255269","53.547637586267","Sink","Sink","Sink","Africa"
"21","Tunisia","65.0884671405196","64.6614082008832","64.7126313968919","65.1437419693525","65.0369715716376","64.8535238206709","Life support","ecosystem health","ecosystem health","Africa"
"22","Tunisia","65.0884671405196","64.6614082008832","64.7126313968919","65.1437419693525","65.0369715716376","64.8535238206709","Life support","Life support","Life support","Africa"
"23","Tunisia","51.2272815654819","47.623244027243","51.3937675110108","48.7058983934013","50.5626845520159","50.62991778379","Human health and welfare","human health","human health","Africa"
"24","Tunisia","28.75","28.75","52.5","52.5","52.5","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"25","Tunisia","38.3768725277035","37.002273792069","51.9439389566104","50.5673774844372","51.52223732507","38.1524591118838","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"26","Tunisia","41.6533569286636","49.9811737866807","52.6313186553724","54.0926151530733","54.7388111044734","52.7390381632732","14","SESI","SESI","Africa"
