"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Uganda","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Uganda","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Uganda",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"4","Uganda","8.20625","8.20625","8.20625","8.20625","8.20625","8.20625","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Uganda","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Uganda","100","100","100","62","66.75","43","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Uganda","100","100","100","100","100","5","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"8","Uganda","42.4974808333333","42.7482025","43.0887125","43.2960841666667","43.4698525","43.2832208333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Uganda","15.6083333333333","14.2466666666667","16.78","15.355","16.685","16.685","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","Uganda","49.4767295","52.400497","55.36482","58.255955","61.1785255","64.128912","Human health and welfare","human health","Drinking water contamination","Africa"
"11","Uganda","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"12","Uganda","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Source","renewable ressources","renewable ressources","Africa"
"13","Uganda","8.20625","8.20625","8.20625","8.20625","8.20625","8.20625","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Uganda","13.5461185733618","13.5461185733618","13.5461185733618","13.5461185733618","13.5461185733618","13.5461185733618","Source","Source","Source","Africa"
"15","Uganda","100","100","100","78.7400787401181","81.700673191841","65.57438524302","Sink","global System","global System","Africa"
"16","Uganda","100","100","100","100","100","5","Sink","critical ecosystems","critical ecosystems","Africa"
"17","Uganda","100","100","100","88.7356065737526","90.3884246968831","18.1072340851688","Sink","Sink","Sink","Africa"
"18","Uganda","42.4974808333333","42.7482025","43.0887125","43.2960841666667","43.4698525","43.2832208333333","Life support","ecosystem health","ecosystem health","Africa"
"19","Uganda","42.4974808333333","42.7482025","43.0887125","43.2960841666667","43.4698525","43.2832208333333","Life support","Life support","Life support","Africa"
"20","Uganda","27.7893736215692","27.3227453585226","30.4798569484832","29.9085303722032","31.9493927636739","32.7107153196013","Human health and welfare","human health","human health","Africa"
"21","Uganda","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Uganda","38.1961007844045","37.8740561773153","40.0024060500786","39.6257220065536","40.955379623352","41.440470005528","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Uganda","38.5078500965898","38.4829748956744","39.0900410086033","37.895239021784","38.4243653616791","25.7544813234161","11","SESI layer","SESI layer","Africa"
