"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","United Arab Emirates","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","United Arab Emirates","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","United Arab Emirates","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"4","United Arab Emirates","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"5","United Arab Emirates","92.04375","92.04375","92.04375","92.04375","92.04375","92.04375","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","United Arab Emirates","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","United Arab Emirates","10.2193202075029","10.2193202075029","10.2250285416708","10.0043062871793","9.9586396138362","5","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","United Arab Emirates","5","5","5","5","5",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","United Arab Emirates","52.5","52.5","52.5","52.5","52.5",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"10","United Arab Emirates",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"11","United Arab Emirates","85.826","85.028","85.845","85.617","83.5555","83.812","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"12","United Arab Emirates","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"13","United Arab Emirates","20.3305058733903","20.3305058733903","20.4440170417007","20.4440170417007","20.4440170417007","20.4440170417007","Source","renewable ressources","renewable ressources","Asia"
"14","United Arab Emirates","92.04375","92.04375","92.04375","92.04375","92.04375","92.04375","Source","non-renewable ressources","non-renewable ressources","Asia"
"15","United Arab Emirates","43.2584789374738","43.2584789374738","43.3790732217972","43.3790732217972","43.3790732217972","43.3790732217972","Source","Source","Source","Asia"
"16","United Arab Emirates","7.14818865430359","7.14818865430359","7.15018480239175","7.07259015042555","7.05642955531911","5","Sink","global System","global System","Asia"
"17","United Arab Emirates","16.2018517460196","16.2018517460196","16.2018517460196","16.2018517460196","16.2018517460196",NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"18","United Arab Emirates","10.7616863376334","10.7616863376334","10.763188845551","10.7046278346122","10.6923910100366","5","Sink","Sink","Sink","Asia"
"19","United Arab Emirates","85.826","85.028","85.845","85.617","83.5555","83.812","Life support","ecosystem health","ecosystem health","Asia"
"20","United Arab Emirates","85.826","85.028","85.845","85.617","83.5555","83.812","Life support","Life support","Life support","Asia"
"21","United Arab Emirates","5","5","5","5","5","5","Human health and welfare","human health","human health","Asia"
"22","United Arab Emirates",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"23","United Arab Emirates","5","5","5","5","5","5","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"24","United Arab Emirates","21.1414666690352","21.0921516731968","21.1580948495789","21.1152128260768","20.9809445996839","17.3632740759715","12","SESI","SESI","Asia"
