"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","United Kingdom","100","100","100","100","100","5","Source","renewable ressources","state of forest reccources","Europe"
"2","United Kingdom","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","United Kingdom","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","United Kingdom","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","United Kingdom","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","United Kingdom","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","United Kingdom","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","United Kingdom","97.815","97.815","97.815","97.815","97.815","98.1","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","United Kingdom","58.39","58.39","58.39","58.39","58.39","59.91","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","United Kingdom","22.7115916666667","22.7714033333333","22.7856833333333","22.8565733333333","22.876945","22.7882758333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","United Kingdom","72.5925","73.229","75.072","74.255","72.4595","72.203","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","United Kingdom","80.7466666666667","83.565","83.8816666666667","83.945","85.6866666666667","85.6866666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","United Kingdom","99.875968","99.8611005","99.8462235","99.831356","99.831356","99.831356","Human health and welfare","human health","Drinking water contamination","Europe"
"14","United Kingdom","47.75","47.75","47.75","47.75","47.75","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","United Kingdom","92.9972955480127","92.9972955480127","94.6758118918924","94.6758118918924","94.6758118918924","44.7694273361602","Source","renewable ressources","renewable ressources","Europe"
"16","United Kingdom","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","United Kingdom","96.4351054066996","96.4351054066996","97.3014963358182","97.3014963358182","97.3014963358182","66.9099598984786","Source","Source","Source","Europe"
"18","United Kingdom","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"19","United Kingdom","75.5739230819732","75.5739230819732","75.5739230819732","75.5739230819732","75.5739230819732","76.6627093181554","Sink","critical ecosystems","critical ecosystems","Europe"
"20","United Kingdom","41.1082022639804","41.1082022639804","41.1082022639804","41.1082022639804","41.1082022639804","41.403264288544","Sink","Sink","Sink","Europe"
"21","United Kingdom","40.6040788352907","40.8353657348219","41.3589992528833","41.1972675412662","40.7142726353732","40.5633070643182","Life support","ecosystem health","ecosystem health","Europe"
"22","United Kingdom","40.6040788352907","40.8353657348219","41.3589992528833","41.1972675412662","40.7142726353732","40.5633070643182","Life support","Life support","Life support","Europe"
"23","United Kingdom","89.8034047021975","91.3503851293606","91.5164883370888","91.5442143415956","92.489005424717","92.489005424717","Human health and welfare","human health","human health","Europe"
"24","United Kingdom","47.75","47.75","47.75","47.75","47.75","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","United Kingdom","65.4836817423236","66.0452942299977","66.1053123288589","66.115325264353","66.455624359645","69.6826577047521","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","United Kingdom","56.9792330038736","57.1821516925809","57.5060578302597","57.4519321125656","57.3563632701171","52.8988040468695","14","SESI layer","SESI layer","Europe"
