"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","United States of America","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","United States of America","76.860375","76.860375","71.279125","71.279125","71.279125","71.279125","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","United States of America","9.00266666666667","9.00266666666667","9.00266666666667","9.00266666666667","9.00266666666667","9.00266666666667","Source","renewable ressources","Surfacewater Stress","America"
"4","United States of America","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","United States of America","97.8625","97.8625","97.8625","97.8625","97.8625","97.8625","Source","non-renewables ressources","area with tolerable erosion","America"
"6","United States of America","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","United States of America","64.8559386470326","71.7529244675626","78.1696276562442","74.3833465638448","87.7339314573573","100","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","United States of America",NA,NA,NA,NA,NA,"41.7175","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","United States of America","60.3862975","60.422975","60.4650783333333","60.5070258333333","60.5514383333333","60.5787091666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","United States of America","72.336","70.9015","70.683","70.5975","70.284","70.987","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","United States of America","89.5183333333333","91.9566666666667","90.6266666666667","90.0883333333333","93.0966666666667","93.0966666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","United States of America","99.2521885","99.33747","99.4215165","99.5042615","99.5856955","99.6657615","Human health and welfare","human health","Drinking water contamination","America"
"13","United States of America","52.5","52.5","52.5","52.5","52.5","50.673074","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"14","United States of America","51.288313359192","51.288313359192","50.3307477347425","50.3307477347425","50.3307477347425","50.3307477347425","Source","renewable ressources","renewable ressources","America"
"15","United States of America","97.8625","97.8625","97.8625","97.8625","97.8625","97.8625","Source","non-renewable ressources","non-renewable ressources","America"
"16","United States of America","70.8463306467874","70.8463306467874","70.1818552062514","70.1818552062514","70.1818552062514","70.1818552062514","Source","Source","Source","America"
"17","United States of America","18.0077675805515","18.9410829241048","19.769879571743","19.2851428000734","20.9444421574504","22.3606797749979","Sink","global System","global System","America"
"18","United States of America",NA,NA,NA,NA,NA,"41.7175","Sink","critical ecosystems","critical ecosystems","America"
"19","United States of America","18.0077675805515","18.9410829241048","19.769879571743","19.2851428000734","20.9444421574504","30.5422929478694","Sink","Sink","Sink","America"
"20","United States of America","66.0916274270804","65.4528804710878","65.3747132447631","65.3578209265635","65.2364720982059","65.576678991957","Life support","ecosystem health","ecosystem health","America"
"21","United States of America","66.0916274270804","65.4528804710878","65.3747132447631","65.3578209265635","65.2364720982059","65.576678991957","Life support","Life support","Life support","America"
"22","United States of America","94.2596970831428","95.5758474526907","94.9222873478089","94.6793170555173","96.2865322811642","96.325231255601","Human health and welfare","human health","human health","America"
"23","United States of America","52.5","52.5","52.5","52.5","52.5","50.673074","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"24","United States of America","70.3465286767229","70.8359512625211","70.5933430697255","70.5029371403395","71.0988251995848","69.8648378763036","Human health and welfare","Human health and welfare","Human health and welfare","America"
"25","United States of America","49.3505036219197","49.9431770002226","50.3037780160726","49.9733103805661","51.0989096692045","55.9800960495348","13","SESI layer","SESI layer","America"
