"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Uruguay","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Uruguay","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Uruguay","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Uruguay","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Uruguay","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Uruguay","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Uruguay","29.0552118039029","26.1161351737268","24.9405045216564","59.5311756306521","36.742027605902","30.463269358041","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Uruguay",NA,NA,NA,NA,NA,"76.2025","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Uruguay","9.34790583333334","8.521295","7.81765083333333","7.42201833333333","7.17828083333333","6.94344","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Uruguay","64.66","65.6955","65.4675","65.4105","64.337","64.5745","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Uruguay","84.4833333333333","84.9583333333333","86.4783333333333","87.9033333333333","88.98","88.98","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Uruguay","81.5006996104799","81.5006996104799","83.8092750832218","83.8092750832218","83.8092750832218","83.8092750832218","Source","renewable ressources","renewable ressources","America"
"13","Uruguay","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","America"
"14","Uruguay","90.2777379039151","90.2777379039151","91.5474057978825","91.5474057978825","91.5474057978825","91.5474057978825","Source","Source","Source","America"
"15","Uruguay","12.0530518550081","11.4271902000725","11.1670283696372","17.2527064008306","13.5539713010435","12.3416508940338","Sink","global System","global System","America"
"16","Uruguay",NA,NA,NA,NA,NA,"76.2025","Sink","critical ecosystems","critical ecosystems","America"
"17","Uruguay","12.0530518550081","11.4271902000725","11.1670283696372","17.2527064008306","13.5539713010435","30.6669961400299","Sink","Sink","Sink","America"
"18","Uruguay","24.5852718346439","23.6603198556676","22.6230425878406","22.0335637197549","21.4902083278447","21.1747294263705","Life support","ecosystem health","ecosystem health","America"
"19","Uruguay","24.5852718346439","23.6603198556676","22.6230425878406","22.0335637197549","21.4902083278447","21.1747294263705","Life support","Life support","Life support","America"
"20","Uruguay","84.4833333333333","84.9583333333333","86.4783333333333","87.9033333333333","88.98","88.98","Human health and welfare","human health","human health","America"
"21","Uruguay",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Uruguay","84.4833333333333","84.9583333333333","86.4783333333333","87.9033333333333","88.98","88.98","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Uruguay","38.773136777743","37.9478067257129","37.606290488095","41.8213782268814","39.2474466433778","47.9575389179239","11","SESI","SESI","America"
