"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Uzbekistan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Uzbekistan","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Uzbekistan","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"4","Uzbekistan","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Uzbekistan","7.33518549999999","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Uzbekistan","8.42022801520101","40.7223814920995","88.985599039936","67.9575305020335","79.9916661110741","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Uzbekistan","61.2037708333333","61.3424058333333","61.4995566666667","61.6804083333333","61.9259308333333","61.9580608333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Uzbekistan","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Uzbekistan","91.126335","91.204805","91.2825625","91.2245365","91.167679","91.112066","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Uzbekistan",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"11","Uzbekistan","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Source","renewable ressources","renewable ressources","Asia"
"12","Uzbekistan","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Uzbekistan","47.2870804501588","47.2870804501588","47.2870804501588","47.2870804501588","47.2870804501588","47.2870804501588","Source","Source","Source","Asia"
"14","Uzbekistan","7.85900340016443","14.2692644330567","21.0933163632389","18.4333299354774","19.9989582367525","22.3606797749979","Sink","global System","global System","Asia"
"15","Uzbekistan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Uzbekistan","7.85900340016443","14.2692644330567","21.0933163632389","18.4333299354774","19.9989582367525","22.3606797749979","Sink","Sink","Sink","Asia"
"17","Uzbekistan","61.2037708333333","61.3424058333333","61.4995566666667","61.6804083333333","61.9259308333333","61.9580608333333","Life support","ecosystem health","ecosystem health","Asia"
"18","Uzbekistan","61.2037708333333","61.3424058333333","61.4995566666667","61.6804083333333","61.9259308333333","61.9580608333333","Life support","Life support","Life support","Asia"
"19","Uzbekistan","21.345530562626","21.3547190335064","21.3638201757083","21.3570288781001","21.3503722449984","21.3438593042589","Human health and welfare","human health","human health","Asia"
"20","Uzbekistan",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Uzbekistan","21.345530562626","21.3547190335064","24.7832570509127","24.7793175903893","24.7754556374591","24.7716764672366","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Uzbekistan","26.39664781211","30.6619441667101","35.1139295513226","33.9739247040093","34.7065158123225","35.6919421006054","10","SESI layer","SESI layer","Asia"
