"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Vanuatu","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Vanuatu","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Vanuatu",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"4","Vanuatu","99.64375","99.64375","99.64375","99.64375","99.64375","99.64375","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"5","Vanuatu","86.54526875","87.860273","87.445400875","84.606428","85.816459625","86.80906","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"6","Vanuatu","94.1122278056951","100","97.2948073701843","100","90.929648241206","100","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"7","Vanuatu","100","86.993975","87.00613","87.0199991666667","87.03571","87.3123425","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"8","Vanuatu","81.6935","81.589","81.7315","81.361","81.228","81.095","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"9","Vanuatu","88.5366666666667","88.41","88.5366666666667","87.935","89.17","89.17","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"10","Vanuatu","91.3671166229952","91.3671166229952","88.6975196947468","88.6975196947468","88.6975196947468","88.6975196947468","Source","renewable ressources","renewable ressources","Oceania"
"11","Vanuatu","99.64375","99.64375","99.64375","99.64375","99.64375","99.64375","Source","non-renewable ressources","non-renewable ressources","Oceania"
"12","Vanuatu","95.4157331209197","95.4157331209197","94.0114539728188","94.0114539728188","94.0114539728188","94.0114539728188","Source","Source","Source","Oceania"
"13","Vanuatu","90.2494767192869","93.7338108688642","92.238730658773","91.9817525382073","88.3360656074681","93.1713797257506","Sink","global System","global System","Oceania"
"14","Vanuatu",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"15","Vanuatu","90.2494767192869","93.7338108688642","92.238730658773","91.9817525382073","88.3360656074681","93.1713797257506","Sink","Sink","Sink","Oceania"
"16","Vanuatu","90.3844566283385","84.2481538449063","84.327584538483","84.142938813659","84.0817260281923","84.1462679804488","Life support","ecosystem health","ecosystem health","Oceania"
"17","Vanuatu","90.3844566283385","84.2481538449063","84.327584538483","84.142938813659","84.0817260281923","84.1462679804488","Life support","Life support","Life support","Oceania"
"18","Vanuatu","88.5366666666667","88.41","88.5366666666667","87.935","89.17","89.17","Human health and welfare","human health","human health","Oceania"
"19","Vanuatu",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"20","Vanuatu","88.5366666666667","88.41","88.5366666666667","87.935","89.17","89.17","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"21","Vanuatu","91.1109134262063","90.3430008922426","89.7008851858586","89.4366396636913","88.8300285510473","90.0387030214716","9","SESI layer","SESI layer","Oceania"
