"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Viet Nam","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Viet Nam","83.5175","83.5175","72.89175","72.89175","72.89175","72.89175","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Viet Nam","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Viet Nam","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Viet Nam","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Viet Nam","50.940890875","51.602760625","51.1309455","38.432639875","26.55353825","30.18862775","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Viet Nam","8.06668011701806","6.60521537375164","5.8241702814486","6.67709068899425","5.7427115908403","5","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Viet Nam","60.930935","60.6457883333333","60.3448883333333","60.0404325","59.7465308333333","59.4397091666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Viet Nam","81.1235","79.7555","77.637","77.124","75.9555","75.6895","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Viet Nam","51.0116666666667","44.995","52.1833333333333","52.215","49.6816666666667","49.6816666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Viet Nam","44.5833365","44.5833365","44.5833365","44.5833365","44.5833365","44.5833365","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","Viet Nam","95.5970237427866","95.5970237427866","92.3994942790897","92.3994942790897","92.3994942790897","92.3994942790897","Source","renewable ressources","renewable ressources","Asia"
"13","Viet Nam","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Viet Nam","21.8628707793358","21.8628707793358","21.494126439459","21.494126439459","21.494126439459","21.494126439459","Source","Source","Source","Asia"
"15","Viet Nam","20.2712572763642","18.4620515601131","17.2567474700034","16.0193077835102","12.3486562785631","12.2858918581436","Sink","global System","global System","Asia"
"16","Viet Nam",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Viet Nam","20.2712572763642","18.4620515601131","17.2567474700034","16.0193077835102","12.3486562785631","12.2858918581436","Sink","Sink","Sink","Asia"
"18","Viet Nam","70.3059791587636","69.5473591980254","68.4470313127969","68.0482058259437","67.3652553079942","67.0743010919265","Life support","ecosystem health","ecosystem health","Asia"
"19","Viet Nam","70.3059791587636","69.5473591980254","68.4470313127969","68.0482058259437","67.3652553079942","67.0743010919265","Life support","Life support","Life support","Asia"
"20","Viet Nam","51.0116666666667","44.995","52.1833333333333","52.215","49.6816666666667","49.6816666666667","Human health and welfare","human health","human health","Asia"
"21","Viet Nam","44.5833365","44.5833365","44.5833365","44.5833365","44.5833365","44.5833365","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Viet Nam","47.6893101273843","44.7886952904134","48.233879272682","48.248512053197","47.0635151989398","47.0635151989398","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Viet Nam","34.9140551543445","33.4856744517467","33.2656786553956","32.6073899445305","30.2876066115656","30.2163325368306","11","SESI layer","SESI layer","Asia"
