"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","West Bank and Gaza","19.2816666666667","19.915","21.435","19.1866666666667","18.2366666666667","18.2366666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"3","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","renewable ressources","Asia"
"4","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Asia"
"5","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Source","Source","Source","Asia"
"6","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Asia"
"7","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"8","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Asia"
"9","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","ecosystem health","Asia"
"10","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Life support","Life support","Life support","Asia"
"11","West Bank and Gaza","19.2816666666667","19.915","21.435","19.1866666666667","18.2366666666667","18.2366666666667","Human health and welfare","human health","human health","Asia"
"12","West Bank and Gaza",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"13","West Bank and Gaza","19.2816666666667","19.915","21.435","19.1866666666667","18.2366666666667","18.2366666666667","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"14","West Bank and Gaza","19.2816666666667","19.915","21.435","19.1866666666667","18.2366666666667","18.2366666666667","2","SESI","SESI","Asia"
